# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 09:54:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/standata-2a8c57913681.json
# init = 2 (Default)
# random
#   seed = 1203798295
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-202509041054-1-89404e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-profile-202509041054-1-13acca.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.117425
# Diagonal elements of inverse mass matrix:
# 0.0253995, 0.0269138, 0.127763, 0.121152, 0.0938554, 0.0887061, 0.0718465, 0.14196, 0.107057, 0.0983077, 0.0959891, 0.0756649, 0.0891475, 0.085982, 0.0702054, 0.11615, 0.110759, 0.120816, 0.11011, 0.0782708, 0.0767227, 0.158092, 0.00527557
97.6622,0.597224,0.117425,4,15,0,-84.1934,-1.30262,0.64967,1.15456,1.62951,-0.28081,0.282162,0.0770617,2.07,-1.18958,-0.65574,-0.0174378,-0.447084,0.946332,-0.425204,0.250816,1.14277,-0.370447,-0.943331,-0.57624,0.669106,0.284861,-1.76459,0.225965,-0.552538,-0.243973,-1.48505,-1.11931,-1.25255,0.0421975,-2.07545,-1.72863,-1.31395,-1.59308,-0.687815,-1.57886,-1.13967,-0.560198,-1.54329,-1.91547,-1.67698,-0.867921,-1.11755,-2.44902,-0.537732,-0.930828,-0.423644,-0.304747,-0.212955,-0.447501,-0.510189,-0.283841,-0.54072,-1.52753,-1.51237,-1.86665,-0.884572,-0.869974,-1.00608,-1.43038,-1.61273,-1.13146,-1.27346,-1.00395,-1.3906,-1.16849,-1.27489,-1.41864,0.10617,0.0307649,-0.0526461,0.12291,0.766104,0.556692,0.49807,-0.0963861,-0.457984,-1.87686,-2.14033,-1.98135,-1.66663,-2.26394,-2.09722,-2.466,-2.34934,-2.11033,-1.66512,-1.75334,-1.48405,-1.73001,-1.28953,-1.44592,-1.39013,-1.0575,-1.57109,-2.08107,-1.63363,-1.58826,-2.1108,-1.8123,-1.42433,-1.53738,-1.96844,-0.202556,-0.673574,-0.623788,-0.917009,-0.87261,-1.76214,-1.53005,-1.44794,-0.985789,-1.8055,-1.60132,-1.82854,-1.56749,-1.59398,-1.46682,-1.39487,-1.05345,-0.96396,-0.59965,-0.736825,-0.59162,-1.367,-1.68269,-1.81611,-1.87699,-2.11078,-1.59819,-1.83142,-1.72839,-1.76261,-1.79455,-1.7684,-1.28395,-0.807271,-0.584418,-1.02588,-0.919731,-0.756127,-0.865296,-0.82951,-0.812826,-1.17055,-0.571179,-1.03065,-1.16743,-1.06202,-1.00793,-0.984019,-2.0164,-2.73729,-2.46562,-2.44474,-2.52176,-2.52342,-2.51833
101.976,1,0.117425,4,31,0,-91.2066,-1.36322,0.669408,1.23872,1.56432,-0.13652,0.216734,-0.0675784,1.88917,-0.444622,-0.636428,0.133652,0.052286,0.761435,-0.440398,0.747251,1.30886,-0.0451076,-0.930676,-0.950558,1.00011,0.148132,-1.47983,0.228989,-0.53401,-0.316047,-1.4546,-1.21813,-1.40846,-0.0985938,-1.66085,-1.78925,-1.27375,-1.32822,-0.853507,-1.65802,-0.863002,-0.487059,-1.39341,-1.98622,-1.99953,-0.693738,-1.26406,-2.35382,-0.465208,-0.333763,-0.499494,-0.543664,-0.450862,-0.358722,-0.413788,-0.196545,-0.386128,-0.684129,-1.30742,-1.32055,-1.21407,-0.963386,-1.21643,-1.31564,-1.41033,-1.53392,-1.61667,-1.37805,-1.45493,-1.11103,-1.47171,-1.56802,-0.209989,0.135088,-0.301665,-0.229686,-0.383465,-0.0426681,-0.0636742,0.207303,-0.396213,-1.961,-1.5721,-1.75921,-1.91702,-1.6891,-1.48851,-1.91987,-1.49382,-1.76851,-1.72727,-1.82712,-2.0653,-2.22046,-1.93594,-1.72269,-1.11011,-1.35368,-1.39356,-1.69122,-1.24629,-1.15022,-1.2424,-1.73825,-1.26485,-0.99317,-1.45976,-0.885753,-0.97323,-1.10445,-0.701899,-0.860833,-1.49512,-1.55548,-1.43684,-1.41409,-1.66334,-1.82454,-1.82987,-0.665396,-0.903823,-0.849055,-0.900344,-0.507537,-0.967426,-0.828084,-0.177953,-0.305068,-1.39164,-1.33928,-2.23414,-2.16791,-1.67255,-1.8871,-1.80119,-1.43273,-2.09841,-1.87135,-1.97649,-2.31763,-0.678856,-0.252559,-0.812534,-0.649986,-0.523883,-0.529381,-0.886052,-0.670095,-0.750477,-0.608973,-0.941215,-0.854053,-1.37489,-1.05697,-1.24477,-2.02222,-2.19769,-2.57372,-2.23328,-2.39682,-2.10079,-2.09008
105.833,0.977023,0.117425,5,31,0,-94.8633,-1.43785,0.618343,1.85076,1.67848,0.00185992,0.248436,0.11396,2.1133,-0.769278,-0.614051,0.387534,0.0965373,0.889614,-0.194017,0.738436,1.3644,0.250445,-0.792946,-0.753163,1.0608,0.344162,-1.47478,0.217332,-0.29345,-0.399974,-1.4367,-1.28423,-1.36739,-0.131109,-1.91353,-1.81755,-1.19822,-1.37816,-0.887767,-1.55782,-0.981246,-0.594186,-1.28299,-1.92817,-1.90357,-0.781916,-1.22504,-2.34977,-0.165151,-0.265733,-0.0266034,-0.515481,-0.203763,-0.28771,-0.465476,-0.452111,-0.715256,-1.49326,-1.26667,-1.24472,-1.23956,-1.30742,-1.45431,-1.42461,-1.56197,-1.20633,-1.35709,-1.49601,-1.56055,-1.21471,-1.4405,-1.19988,0.200246,0.00697975,0.0608679,0.0964482,-0.412136,-0.374603,-0.388629,-0.109051,-0.607466,-2.07602,-2.42913,-1.57598,-1.88609,-1.74513,-1.82422,-1.84899,-1.68571,-1.8858,-1.47679,-1.97738,-1.68291,-1.74871,-1.83668,-1.90107,-1.69854,-1.17251,-1.53821,-1.53315,-1.15653,-1.8818,-1.20922,-1.47195,-1.52507,-1.08774,-1.38188,-0.974045,-0.781117,-0.674986,-0.74293,-0.97797,-1.48112,-1.64751,-1.55209,-1.52933,-1.72416,-1.48179,-1.42696,-1.0456,-1.19518,-1.11178,-1.12937,-1.0691,-1.12083,-1.04435,-0.511632,-0.904896,-1.29928,-1.32926,-1.41307,-1.62062,-1.93357,-2.0623,-2.0706,-1.81563,-1.97885,-1.58723,-2.35688,-2.42769,-0.903541,-0.508555,-0.934651,-0.604988,-0.771106,-0.987221,-0.815625,-0.840967,-0.403661,-0.568534,-1.51277,-1.10192,-1.47611,-1.05867,-1.05987,-2.49113,-2.53829,-2.11878,-2.05574,-2.10265,-2.33265,-2.1999
103.888,0.973159,0.117425,4,15,0,-96.2415,-1.29854,0.760782,1.39878,1.37288,-0.17854,0.241608,-0.0117836,1.70994,-0.706261,-0.737844,0.190608,-0.145629,0.480815,-0.387966,0.149905,1.13302,-0.0464676,-0.873896,-0.360212,0.521771,-0.0514097,-1.40064,0.216593,-0.234372,-0.254071,-1.43437,-1.11473,-1.3075,0.0023515,-1.83585,-1.85988,-1.15353,-1.40933,-0.932741,-1.59369,-1.18449,-0.436556,-1.33389,-1.96338,-1.57258,-0.901583,-1.33765,-2.36412,-0.411824,-0.14456,-0.381408,-0.288399,-0.0994782,0.0584028,-0.284533,-0.263026,-0.0876919,-1.7319,-1.76057,-1.70838,-1.28704,-0.836084,-0.73272,-0.843654,-1.13108,-1.25817,-1.18635,-1.62749,-1.04264,-1.52928,-0.960253,-1.55714,-0.251352,-0.0719835,-0.31637,0.366214,0.177574,0.178283,-0.290968,-0.0473862,-0.0934531,-1.76943,-1.98309,-1.81839,-1.88752,-1.76169,-1.76714,-2.11725,-2.10847,-2.23224,-1.63267,-2.1093,-2.06129,-1.83352,-2.1801,-1.9097,-0.992357,-0.986235,-1.71619,-1.74924,-1.14928,-1.43296,-0.977017,-1.749,-1.49421,-1.24917,-1.16795,-0.644786,-0.915275,-0.706596,-0.673622,-0.217612,-1.83256,-1.90804,-1.19673,-1.38298,-1.61727,-1.28936,-2.06958,-1.13266,-1.29098,-0.790821,-1.27271,-1.26131,-1.39422,-0.439643,-0.731316,-0.617525,-1.24678,-1.40718,-1.92937,-1.77972,-2.06421,-1.70551,-2.21901,-1.44348,-1.67755,-1.79376,-1.87951,-1.55527,-0.774854,-0.964064,-0.983012,-0.800975,-0.796422,-1.15975,-0.871138,-1.11529,-0.787395,-0.983638,-0.882613,-1.33642,-1.41967,-1.263,-1.377,-2.52254,-2.63529,-2.15113,-2.52579,-2.49403,-2.46347,-2.42483
98.5731,0.881327,0.117425,4,15,0,-83.3089,-1.35564,0.633488,1.04257,1.78418,0.143914,0.404617,0.156143,1.97585,-0.590559,-0.92245,0.539157,0.0457424,0.417222,-0.285189,0.382703,1.28729,-0.29359,-0.757781,-0.474893,0.721012,0.0793323,-1.48396,0.233681,-0.69518,-0.225378,-1.26447,-1.09932,-1.25672,-0.103958,-1.72975,-1.94,-1.01409,-1.32666,-1.09133,-1.5363,-1.1132,-0.540152,-1.54162,-1.83568,-1.65648,-0.898884,-1.30538,-2.29571,-0.275662,-0.71723,-0.524995,-0.0950268,0.117278,0.0174739,0.0208966,-0.321117,-0.0468497,-1.27003,-1.51824,-1.11549,-1.2187,-0.832095,-0.907443,-1.37437,-1.08033,-0.988269,-1.28074,-1.29545,-1.138,-1.28454,-1.43559,-1.47447,0.144502,0.0878313,-0.15982,-0.202336,0.065342,0.183668,0.413115,0.094792,-0.0073981,-1.414,-1.35897,-2.0237,-1.5228,-1.41886,-1.65058,-1.83358,-1.47492,-1.82757,-2.05358,-1.95257,-1.8285,-2.12066,-1.86754,-1.5129,-0.96477,-0.889978,-1.1132,-1.18385,-1.51629,-1.35697,-0.919196,-1.22338,-1.28051,-0.988957,-1.22551,-0.932771,-0.766996,-1.23067,-1.61567,-1.42314,-1.40996,-1.38474,-1.61349,-1.30679,-1.45803,-1.33312,-1.48845,-0.909868,-0.865981,-1.12265,-1.10626,-1.15827,-1.14537,-0.699181,-0.39481,-0.274553,-1.53511,-1.82764,-1.71202,-1.92192,-1.82841,-2.16235,-1.62454,-1.46256,-1.57884,-1.3308,-1.79301,-1.31212,-0.853765,-0.691455,-1.28439,-0.483988,-0.916085,-0.940738,-1.07805,-0.862032,-0.645784,-1.14842,-0.8585,-0.856979,-1.40876,-1.42631,-1.55961,-1.95194,-2.45352,-1.89219,-2.55303,-2.26069,-2.48075,-2.19185
99.7421,0.930321,0.117425,5,63,0,-84.855,-1.16907,0.457383,1.64241,1.79644,-0.6212,0.138639,-0.601309,2.481,-1.57474,-1.15961,-0.210879,-0.507132,0.861755,-0.770551,0.158672,1.05146,-0.79006,-1.75522,-1.4014,1.11109,-0.141618,-2.69568,0.213652,-0.417863,-0.34741,-1.4532,-1.10566,-1.4441,-0.0343037,-1.88933,-1.69946,-1.26552,-1.40102,-0.77492,-1.52151,-1.0965,-0.688152,-1.53043,-1.97188,-1.81005,-0.660878,-1.23385,-2.40203,-0.353052,-0.171757,-0.329991,-0.18557,-0.625309,-0.327817,0.152339,-0.655662,-0.698942,-1.52832,-1.30065,-1.63514,-1.17441,-1.06984,-1.1456,-1.09671,-1.42721,-1.30429,-1.64817,-1.32019,-1.57939,-1.55425,-1.52192,-1.54448,-0.407243,-0.220426,-0.147982,-0.28411,-0.0948324,-0.04133,-0.11213,0.298119,0.00115612,-1.8898,-1.78071,-1.62417,-1.99239,-2.18942,-1.75469,-1.72824,-1.88644,-2.16995,-1.66552,-1.88723,-1.4084,-1.58967,-1.77795,-1.54511,-1.4829,-1.31326,-1.23066,-1.37848,-0.792911,-1.38487,-1.0857,-1.47616,-1.24922,-1.12462,-1.35276,-0.730659,-0.742326,-0.674001,-0.625109,-0.460369,-1.69595,-1.43131,-1.45868,-1.90608,-1.5326,-1.36107,-1.01214,-0.919834,-0.998506,-1.11927,-1.53242,-1.03146,-0.757029,-1.15838,-0.941651,-0.560797,-1.68664,-1.44669,-1.98316,-1.6626,-2.03458,-1.94836,-2.12002,-1.55941,-1.79681,-1.52198,-1.81765,-1.78757,-0.906448,-0.461977,-0.481173,-0.724551,-0.694602,-0.759161,-0.97856,-0.815497,-0.446688,-0.863441,-0.707442,-0.999318,-1.01365,-1.44535,-1.38722,-2.42084,-2.27421,-2.66367,-2.78723,-2.31704,-2.12799,-2.25253
