# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 09:54:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/standata-2a8c57913681.json
# init = 2 (Default)
# random
#   seed = 1203798295
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-202509041054-2-89404e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-profile-202509041054-2-13acca.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.118207
# Diagonal elements of inverse mass matrix:
# 0.0259971, 0.0316248, 0.139757, 0.139932, 0.108528, 0.0829838, 0.0677724, 0.166176, 0.083106, 0.0813756, 0.0908184, 0.0652593, 0.0897637, 0.0737755, 0.0794179, 0.12251, 0.109752, 0.101371, 0.0892752, 0.0843467, 0.0798363, 0.140005, 0.00500767
94.6482,0.9448,0.118207,4,31,0,-80.4159,-1.17438,0.514493,0.878814,1.62379,-0.135261,0.0439885,-0.210764,2.20456,-1.26127,-1.34411,0.025145,-0.281904,0.37114,-0.721399,0.0947412,1.28218,-0.739131,-1.64609,-0.933362,1.36295,-0.175779,-2.45171,0.232584,-0.722239,-0.338953,-1.24397,-1.15175,-1.28282,-0.0401528,-1.8233,-1.86592,-1.16145,-1.31942,-0.983434,-1.54554,-1.12564,-0.514711,-1.55466,-2.02129,-1.65459,-0.473152,-1.26482,-2.43577,-0.755404,-0.56544,-0.139419,-0.246548,-0.275108,-0.111666,-0.648894,-0.369607,-0.283282,-0.742763,-1.05115,-0.893443,-0.966639,-0.985578,-1.38079,-0.951576,-1.50866,-1.50061,-1.43345,-1.2159,-1.28217,-0.985663,-1.19704,-1.20943,0.0540481,-0.0638943,0.0995932,0.444983,-0.182989,-0.000242757,0.178281,-0.101311,-0.343728,-1.96664,-2.01433,-1.77506,-1.85632,-1.79538,-1.66813,-1.99034,-1.67424,-2.39198,-1.60877,-1.94781,-2.16997,-1.89754,-1.8742,-1.94172,-0.757206,-1.45168,-1.26815,-1.40641,-1.5898,-1.28109,-1.28111,-1.19066,-1.03364,-1.34208,-1.64301,-0.855874,-1.21054,-1.09576,-1.15102,-1.1527,-1.20713,-1.63087,-1.75815,-1.79371,-1.60425,-1.23747,-1.71036,-0.868075,-1.23969,-0.902749,-0.890942,-0.862853,-1.44344,-0.880231,-0.548549,-0.482225,-1.46438,-1.51011,-2.05189,-1.94559,-1.75838,-2.19059,-2.02275,-1.9089,-2.23646,-1.659,-1.57735,-1.69067,-0.580737,-0.675411,-0.319538,-0.312577,-0.143878,-0.229509,-0.314252,-0.313359,-0.0840175,-0.567911,-0.0151748,-1.26641,-1.21965,-1.33643,-1.43772,-2.44857,-2.50079,-1.96241,-2.53391,-3.00231,-2.2437,-2.41928
99.4693,0.999933,0.118207,4,31,0,-87.7287,-1.04997,0.577876,1.36687,0.876338,-0.328631,-0.210497,-0.598451,1.72417,-1.53892,-0.915983,-0.307491,-0.573001,0.430831,-1.01699,0.181843,1.07312,-0.604082,-1.69042,-1.4315,0.394224,0.00113957,-2.20672,0.240857,-0.260083,-0.543552,-1.23988,-1.17161,-1.3958,-0.0536114,-1.93927,-1.57929,-1.22766,-1.38109,-0.801,-1.63766,-0.944884,-0.429838,-1.39905,-2.02682,-1.8772,-0.822155,-1.04931,-2.32518,0.0231884,-0.0613764,-0.913006,-0.162408,-0.222161,-0.409203,-0.354091,-0.684406,-0.49593,-1.19203,-0.897562,-1.00525,-0.778248,-1.3752,-1.27855,-1.29721,-1.1232,-1.48457,-1.72839,-1.62297,-1.55926,-1.19411,-1.17205,-1.63136,0.152095,0.146547,0.108929,0.163225,-0.15456,-0.0310901,0.295193,-0.0118388,0.0612561,-1.59395,-1.43324,-2.12985,-1.94991,-2.10664,-1.78739,-2.04027,-2.30747,-1.83356,-1.90462,-1.82799,-1.9354,-1.6771,-1.69406,-1.27596,-1.44438,-1.06697,-1.21229,-1.96416,-2.00831,-1.38359,-1.19234,-1.64781,-1.70744,-2.04133,-1.53781,-1.12526,-0.856796,-0.818192,-0.961595,-0.559007,-1.44667,-1.79083,-1.70376,-1.58216,-1.39367,-1.48155,-1.49875,-1.29546,-0.761404,-0.737192,-0.857127,-0.747938,-0.723347,-0.564837,-0.472799,-0.387462,-1.24567,-1.49406,-2.45242,-2.22324,-2.12658,-2.16029,-2.33786,-1.69725,-2.07278,-1.60537,-1.60492,-2.05596,-0.9476,-1.30602,-0.554345,-0.540837,-0.914956,-1.08402,-0.743307,-0.83003,-0.798197,-1.38949,-0.68825,-1.2672,-0.917009,-0.861856,-1.4413,-2.27789,-1.40287,-2.57967,-2.29262,-2.38843,-2.34332,-2.57858
103.544,1,0.118207,4,15,0,-95.8077,-1.05314,0.608065,1.06775,1.31276,-0.239023,-0.0441235,-0.57101,1.41326,-1.45753,-1.158,-0.0943689,-0.508501,0.239813,-1.03621,-0.179505,0.787963,-0.66858,-1.62775,-1.16169,0.516644,-0.0561894,-2.43029,0.245662,-0.403879,-0.254897,-1.19848,-1.07997,-1.40035,-0.193787,-1.93942,-1.75728,-1.11053,-1.36234,-0.907321,-1.68323,-1.16229,-0.57401,-1.45968,-2.04292,-1.75953,-0.73899,-1.08731,-2.53092,-0.744126,-0.05594,0.101504,-0.298079,-0.16788,-0.0227083,-0.340656,-0.0353247,-0.126691,-0.955597,-1.13314,-1.39469,-1.31133,-1.09165,-1.22864,-1.2432,-1.1764,-1.73771,-1.1124,-1.77373,-1.12036,-1.65011,-1.16945,-1.3593,-0.27764,-0.228877,0.066563,0.0118273,-0.23567,0.0924155,-0.0128572,-0.242431,-0.0879367,-2.27937,-1.95611,-1.86259,-1.97959,-1.75852,-1.59611,-2.39392,-1.98432,-2.3806,-1.46494,-1.44035,-2.36406,-1.70386,-2.28434,-1.84021,-1.07052,-1.05901,-1.22222,-1.09536,-1.06624,-1.73431,-1.64837,-1.4777,-1.91509,-1.42836,-1.60608,-0.873601,-0.940275,-0.838803,-0.892054,-0.595944,-1.49681,-1.83237,-1.60107,-1.50777,-1.64001,-1.91678,-1.95786,-1.02824,-1.16215,-1.13887,-2.00773,-1.09658,-1.83198,-0.622179,-0.850467,-0.805427,-1.61642,-1.15519,-2.33489,-1.97672,-2.3129,-2.27391,-2.06003,-1.84322,-1.55889,-1.88206,-1.89613,-2.21256,-0.770896,-1.01238,-0.417312,-0.884651,-0.846858,-0.789665,-1.21865,-0.911636,-0.473239,-0.834795,-0.854088,-1.21657,-1.02749,-1.08672,-1.38532,-2.50448,-2.50121,-2.60241,-3.00623,-2.75306,-2.24055,-2.28546
106.714,0.884265,0.118207,4,15,0,-95.7124,-1.06054,0.679708,1.02885,1.04795,-0.00414678,-0.222751,-0.369626,1.48553,-1.26243,-0.886931,-0.528517,-0.588504,0.296907,-0.815154,-0.0931117,0.960518,-0.481649,-1.50459,-1.25332,0.371506,-0.152705,-1.70447,0.229306,-0.36122,-0.34824,-1.06336,-1.21194,-1.31178,-0.0508109,-1.91862,-1.66339,-1.41978,-1.46055,-0.858728,-1.6146,-1.12383,-0.407667,-1.38792,-2.08322,-1.91243,-0.808023,-1.16433,-2.21908,-0.0747002,-0.671079,-0.33095,-0.288335,-0.258409,-0.291001,-0.446722,-0.356474,-0.240825,-1.16526,-1.3849,-1.01694,-1.15732,-0.972589,-1.41557,-0.740988,-1.32836,-1.14091,-1.70737,-1.09081,-1.09734,-1.3598,-1.17032,-1.28268,0.130366,-0.181227,-0.360786,-0.307351,0.00103311,-0.470433,-0.256675,0.230759,-0.657166,-1.89626,-1.87678,-1.82025,-1.98342,-1.811,-1.99181,-2.30447,-2.20436,-1.66843,-1.6516,-1.79897,-1.29964,-1.62324,-1.54469,-1.66181,-1.48056,-1.72315,-1.34042,-1.36396,-1.72323,-1.18338,-1.69866,-1.68894,-1.20903,-1.46846,-1.3149,-0.784633,-0.750146,-0.723887,-0.96204,-0.848523,-1.47245,-1.39168,-1.4841,-1.63227,-1.4957,-1.61146,-1.28895,-0.831826,-0.451522,-1.04081,-1.03877,-1.03925,-1.33488,-0.432835,-0.8427,-0.473792,-1.59857,-1.38073,-1.7322,-1.91085,-2.57428,-2.3252,-2.30353,-2.09302,-1.79973,-1.85846,-2.54586,-2.09625,-0.742649,-0.760863,-0.596568,-0.747984,-1.04977,-0.615669,-0.940035,-1.11631,-0.54105,-0.779653,-0.629386,-1.48056,-1.24969,-1.02411,-1.57101,-2.58945,-2.41716,-2.48132,-2.48901,-2.24939,-2.17502,-2.28262
102.561,0.981912,0.118207,5,63,0,-91.876,-1.15511,0.568746,1.41466,1.28683,-0.200844,0.102368,-0.226498,1.96715,-1.25458,-0.763103,-0.324331,-0.416699,0.418259,-0.978392,0.25769,1.12492,-0.213316,-1.52127,-1.12456,0.692983,-0.0767089,-1.88787,0.19605,-0.350527,-0.423232,-1.26934,-1.09689,-1.28393,-0.0363019,-1.86865,-1.58912,-1.33957,-1.39211,-0.917227,-1.71157,-1.00855,-0.515314,-1.27643,-2.02033,-1.7947,-0.760979,-1.19874,-2.22883,-0.309048,-0.489342,-0.568846,-0.459976,-0.451985,-0.579178,-0.223529,-0.720261,-0.414832,-1.55424,-1.45452,-1.27681,-0.923619,-1.24341,-1.14113,-1.04574,-1.43862,-0.948823,-1.28099,-1.38469,-1.50661,-1.0925,-1.41645,-1.15376,-0.259805,-0.200469,-0.0760597,-0.0389726,-0.0196911,-0.0302185,-0.0103916,-0.0982779,0.372807,-1.68095,-1.66468,-1.80947,-1.96408,-1.88424,-1.90993,-1.90938,-1.79193,-2.07424,-1.74292,-1.80127,-1.10658,-1.54717,-1.42953,-1.66481,-1.37458,-1.3276,-1.28652,-1.21547,-1.12785,-1.27521,-1.71019,-1.56089,-1.47704,-1.60845,-1.45592,-0.962782,-0.74352,-1.02146,-0.80936,-0.756363,-1.87277,-1.83993,-2.01176,-1.72245,-1.745,-1.77061,-1.9269,-0.885846,-0.915615,-0.859584,-1.11302,-0.685662,-1.08694,-0.564011,-0.524296,-0.414419,-1.13994,-1.33027,-1.97953,-1.78072,-2.03825,-2.13047,-1.83078,-1.82066,-1.58943,-1.96133,-2.30813,-1.37731,-0.403333,-0.656775,-0.905611,-0.91159,-0.943297,-0.743174,-0.790493,-0.894723,-0.840037,-0.522417,-1.01505,-1.35833,-1.22587,-1.68453,-1.32992,-2.27658,-2.09145,-2.28665,-2.26748,-2.23015,-2.31459,-2.28518
102.21,1,0.118207,4,31,0,-88.4634,-1.24636,0.589291,1.30336,1.49386,-0.115554,0.0485075,-0.30987,2.0595,-0.957412,-0.754711,0.250442,-0.378946,0.724732,-0.394346,-0.0268833,0.664881,-0.372508,-1.19319,-1.09368,0.90159,-0.0105121,-1.70706,0.219472,-0.478303,-0.366043,-1.31445,-1.21777,-1.42896,-0.0327141,-1.81055,-1.6911,-1.09878,-1.46967,-0.819282,-1.47874,-1.2622,-0.854551,-1.46588,-1.94949,-1.89085,-0.715061,-1.25255,-2.25232,-0.245859,-0.74194,0.118894,-0.523302,-0.316875,-0.275495,-0.0647119,-0.481806,-0.27929,-1.36949,-1.06713,-1.49278,-1.50185,-1.3973,-1.3108,-1.20158,-1.41778,-1.71528,-1.17968,-1.31567,-1.81008,-1.48409,-1.11742,-1.58235,0.00696014,-0.0069423,-0.152482,-0.21733,0.245378,0.298257,0.148582,0.113853,-0.00776544,-2.01448,-1.98316,-1.93141,-1.86426,-2.05077,-2.20011,-1.86611,-1.46848,-1.33625,-1.79529,-1.79321,-1.58815,-1.79318,-1.5757,-1.72195,-1.12267,-0.930126,-1.02621,-1.17972,-1.68391,-1.06328,-1.30253,-1.92179,-1.55595,-0.995063,-1.28861,-0.541712,-0.605023,-0.916495,-1.03835,-0.79026,-1.40883,-1.63001,-1.17195,-1.1199,-1.20121,-1.1614,-1.62974,-1.10418,-1.67679,-1.03624,-0.981509,-1.34834,-1.49512,-0.938904,-0.777953,-0.721584,-1.25809,-1.2859,-2.08438,-2.06081,-2.0094,-1.79224,-1.87945,-1.90555,-2.00691,-1.8736,-1.88518,-1.6897,-0.654141,-1.01141,-0.469269,-1.0237,-0.852913,-0.640257,-0.478536,-0.486071,-1.02724,-0.802058,-0.611266,-1.41703,-1.25641,-1.41162,-1.63071,-2.41503,-1.99704,-2.32724,-2.26751,-1.86461,-2.02614,-2.61371
