# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 10:39:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 4
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/standata-5e846a22309f.json
# init = 2 (Default)
# random
#   seed = 1203798295
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-202509041139-1-897446.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-profile-202509041139-1-13e0c2.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.362158
# Diagonal elements of inverse mass matrix:
# 0.0766773, 0.0460687, 0.355688, 0.224038, 0.280717, 0.213699, 0.145034, 0.151159, 0.154975, 0.219382, 0.250846, 0.173003, 0.196832, 0.161056, 0.162468, 0.288531, 0.348246, 0.184592, 0.196396, 0.125569, 0.21404, 0.177221, 0.00522302
-89.0696,0.999049,0.362158,4,15,0,97.6266,1.04245,1.29318,-0.515035,-1.65356,-0.651884,0.171556,-0.274981,0.707865,-0.446344,-1.74342,0.901868,1.53294,-0.5776,-0.800464,0.300359,-0.493919,-0.5044,0.328663,-0.0223178,-0.698921,-0.19023,0.956702,1.28809,0.376421,-1.0959,0.199451,1.26431,0.686853,1.95785,0.46525,-1.21211,2.20873,3.02482,0.295513,0.00730917,1.43087,0.403727,0.390174,1.46747,1.01359,0.138622,0.796452,2.27964,1.76439,0.140543,-2.81531,-2.05322,-1.14553,0.789037,-1.13545,-3.62061,-3.20888,0.219389,0.715792,1.75908,-1.64976,0.176216,0.993314,0.287862,1.74978,3.17887,-0.00956149,-0.912654,0.768335,0.564833,-0.72425,0.948943,3.02022,3.48884,2.67915,-0.470899,2.98649,1.63413,0.319639,3.42498,3.27245,-2.34446,1.50765,-0.36471,2.0738,-0.118314,2.50666,-1.47135,0.881058,1.06515,-3.18473,-1.81117,0.0443318,1.46145,-1.79081,-2.21425,1.73908,-0.21208,2.35818,1.93299,4.48334,5.92215,2.18024,2.30306,3.99506,3.74839,5.05033,0.0442737,0.386253,-0.2138,-1.77315,1.05055,0.146648,1.67018,-1.72412,-1.69719,-0.575705,-1.01089,-1.03662,-1.36939,2.50455,1.7292,1.92314,0.130279,2.65614,0.611679,0.890304,-1.20465,0.828631,0.882672,1.47691,1.04207,0.127587,-0.195082,1.58924,-1.01394,2.55117,0.517721,0.374518,1.19576,2.41521,0.398545,0.838427,0.0263156,0.329757,-0.78855,-1.2916,-0.878348,0.400667,-2.07045,1.50704,-0.443482,-0.593342,1.42297,1.68928,1.19181,4.04869,1.51135,2.49568,1.3435,1.40434,3.89631
-88.2072,0.886919,0.362158,3,7,0,98.5455,1.0094,1.57135,-0.831316,-1.07,0.119563,0.182363,-0.479416,0.325988,0.00540729,-0.951037,1.41785,1.01926,0.253071,-0.0264268,0.7707,-1.22136,0.579876,1.01904,0.252411,-0.365971,-0.308105,0.652054,1.1185,-0.296887,-0.671936,1.19727,1.29595,0.25607,1.52164,1.01789,-0.48501,3.23733,2.61101,1.40706,0.967872,2.22043,-0.909777,1.92058,2.61067,1.40602,0.434331,0.525258,2.034,0.36422,0.367617,-1.02727,-0.728057,-1.88506,-2.9522,-0.767382,-0.690563,-0.578199,2.36366,-0.877034,3.29172,2.30433,2.00746,0.611626,0.361005,1.24952,-0.806083,-0.907494,0.593585,0.911388,-0.391841,-0.906019,0.16416,2.39385,2.51417,2.36548,-0.0563584,0.378015,0.592766,2.97863,2.67787,0.96877,-0.310876,1.84386,0.53529,0.688755,-0.923337,2.27412,1.66315,-0.510582,2.29489,-0.241289,-1.71035,-0.194282,-0.0154704,-0.088004,0.782843,4.77897,4.13036,3.70181,3.83256,2.79548,1.97225,5.20112,4.0207,1.54696,2.52218,1.33284,1.82149,0.940502,-0.0186583,1.56542,-0.686832,-0.0719538,3.25251,0.403809,0.160139,3.26249,1.73232,1.13893,3.39089,1.24159,1.49956,1.47919,3.48584,1.12348,-0.242348,-0.248645,-2.25651,3.60548,3.32218,3.6517,4.89525,2.62399,4.06625,2.8218,1.8261,-0.117601,1.34941,1.71131,0.55836,2.85696,1.0646,0.585914,-1.12168,-0.874493,2.82891,0.503849,2.05328,1.29135,2.07113,-0.738053,0.0186055,1.0127,-0.675877,0.757998,2.60716,2.32386,-0.22003,1.0431,1.05687,3.69667,3.34749
-94.0804,0.842867,0.362158,4,15,0,110.249,0.505155,1.15606,-1.29666,-1.17874,-0.0159462,0.832866,0.268946,1.7277,0.375413,-0.691203,1.546,0.906587,0.235693,0.734211,1.23154,-1.2871,0.287345,1.26516,0.50433,-0.348461,-0.408401,0.859627,1.08884,-0.993854,-0.857538,0.48672,1.46799,0.816071,2.50247,0.939153,-0.293914,2.29241,1.55322,0.777629,1.35394,1.92888,-0.982801,0.837342,1.96775,1.08819,0.102315,0.0330203,1.49893,-0.147959,-0.324007,0.134783,-1.51502,-2.09813,0.306532,-1.30417,-1.85152,0.0259923,-0.724079,1.75202,1.33591,1.69929,-1.19399,0.855939,1.26228,1.07496,0.993241,1.03908,1.86305,-1.12433,-1.07632,1.31827,2.08423,2.15452,2.46362,3.49525,2.96862,1.45519,0.417923,2.77513,2.51071,1.16364,2.59846,-0.376818,0.389531,1.79133,-0.846642,-0.787191,2.22873,-0.00466465,1.1835,-0.498425,-0.871971,-1.67601,-0.51425,-0.471223,0.172881,2.41158,0.924183,3.13908,1.91808,2.42935,-0.402883,4.65057,0.841176,1.87413,1.46884,1.78726,0.591122,0.86379,0.881072,1.17372,1.41449,1.4851,2.85608,0.602875,1.98391,0.790167,1.32548,1.38325,0.442177,2.96067,1.74629,0.81762,1.27128,2.03266,-1.0358,-0.861815,-1.77121,0.00395902,0.615986,2.48308,2.30981,1.92653,2.17537,3.32974,-1.51015,2.26766,2.03684,2.94396,1.0674,1.37627,0.169288,1.56797,0.501824,0.542832,-0.923374,-0.285335,0.363107,0.205541,-1.46248,1.51833,1.54261,0.363585,-0.3196,-0.565475,1.63321,3.34174,2.29385,1.58766,-0.789392,1.2,1.32516
-87.6847,0.802921,0.362158,4,15,0,100.252,0.489274,1.18307,-1.8938,-1.28995,0.753634,1.11195,0.242104,0.939899,0.481305,-0.554636,1.2625,1.66623,0.431012,0.104906,0.272336,-0.484851,0.125091,0.405525,0.506566,-0.649551,0.154907,1.61578,1.18223,-1.75122,-1.03682,1.38087,1.80478,0.775699,1.60124,1.05869,-0.166898,1.98289,2.46054,0.999189,0.613385,0.811466,-0.0843373,0.637264,0.969036,1.08857,-0.279189,0.672539,2.40085,-3.92613,-3.09727,-0.710491,-1.77086,-0.538866,-1.92407,-1.27405,0.0983205,-2.59758,0.486855,2.84452,3.00069,3.20419,-0.0679685,1.6628,1.71601,1.43424,1.27342,-0.301296,2.52528,0.471776,1.71458,1.43091,1.06225,2.25145,0.681484,1.9972,0.924306,1.57763,2.03951,-0.0385312,2.12593,1.06656,1.61911,1.97202,-0.284149,1.59075,2.5529,0.898005,1.11731,1.14852,1.40478,2.17663,-1.60672,-0.684097,-2.23497,-1.38901,0.304044,2.65779,0.319003,2.79814,0.583183,2.81013,2.08138,3.01171,1.93229,1.27452,1.97161,1.58949,0.912713,2.76999,-1.30393,0.32797,0.752514,0.325666,0.548299,2.21363,2.77308,-1.43438,1.66278,1.21184,-1.28006,-0.58994,-0.0918982,1.18709,1.26247,-0.0551568,-1.73938,-1.48732,2.54632,0.587407,-1.24935,0.310167,1.85307,0.94602,0.132326,0.85766,2.15909,2.81299,1.37237,0.937266,0.735881,-1.20212,-0.495098,-0.776477,-0.674878,0.465812,-0.530981,0.771207,-1.40637,0.200162,-1.64392,-2.12015,1.98533,-1.17882,-0.0957596,0.533301,4.77039,2.90165,3.207,4.0095,2.8363,3.62773,3.34984
-90.3796,0.885361,0.362158,4,15,0,96.6894,0.909478,1.19526,-1.79708,-1.24553,0.217765,1.15483,-0.124102,1.0617,-0.195131,-1.09727,-0.0148014,0.799665,0.0428202,-0.287925,-0.157598,-1.40408,0.723938,0.436908,-0.936678,-0.759067,-0.302166,0.421671,1.27141,-1.2385,-0.579253,1.16976,2.2898,0.761144,2.17848,0.676246,-0.40204,0.891787,1.86529,0.96066,0.565333,0.721108,-0.76876,1.77477,1.4317,-0.210096,0.00219607,0.548311,1.41349,0.581884,-0.870996,-1.76828,0.955172,0.810614,-1.45978,2.0687,-0.182952,-1.13997,1.52539,0.187538,1.21321,1.85429,3.82928,4.64584,0.52515,-2.14292,-0.0470035,1.36687,1.51882,1.58613,0.255326,0.453499,1.10915,2.3285,-0.226312,2.06566,3.04584,2.31302,3.78224,3.01927,2.18616,0.798742,-0.903713,2.09862,4.36576,2.16017,-0.809322,1.13007,1.18275,0.605412,2.18373,1.18452,0.525847,-1.75878,-1.15733,-0.870848,-1.03258,0.990189,1.24004,0.335831,2.71812,3.17779,1.40895,2.75392,1.1555,-0.199762,2.35141,2.53615,0.633512,0.506874,-0.127467,1.16146,-0.0557184,-1.32664,1.7598,0.184241,2.41337,0.0995269,1.62233,2.28172,1.41496,-0.258416,1.98905,0.639754,0.741115,0.554252,-2.40699,-1.40918,0.135282,3.46493,1.99735,3.4985,1.68099,1.05234,1.26445,0.532109,-0.992896,-0.738735,1.72878,-0.319114,0.528405,1.60036,1.34256,-0.349612,2.24767,-0.78856,-3.75236,-0.506148,0.298665,0.433267,1.00171,-1.51305,2.33473,-0.0717011,0.469882,-1.16067,2.24478,-0.123312,-2.23641,2.4718,1.71316,1.02552,2.18445
-84.952,0.83846,0.362158,3,7,0,102.151,0.660633,1.35501,-1.05751,-1.26678,0.0814172,1.24203,0.337203,1.53589,0.308466,-1.37493,1.11817,1.21978,0.0233851,-0.412522,0.460733,-0.965143,0.494341,0.994253,0.0497143,-0.236415,-0.266891,1.03379,1.24558,-0.772305,-1.05587,0.770954,2.3436,1.11755,2.74178,1.07861,-1.20241,2.17577,2.31345,0.69232,0.101662,1.28493,-0.647145,1.33047,2.00786,0.727997,0.340288,0.298994,2.06143,-0.731277,-1.34183,-1.55525,-1.04423,-1.45998,-3.09484,-0.969688,-0.335578,-0.723329,0.871291,1.82481,0.598426,2.53662,2.19637,1.51113,1.68161,-0.27297,2.34589,1.47581,2.6804,2.18868,0.469755,1.31873,2.78194,0.819883,3.88747,1.03196,0.435751,2.35844,1.90307,2.98498,1.82012,3.51284,1.47867,1.0906,2.15425,2.12744,1.45554,3.81489,-0.712255,0.335964,2.03144,-1.58115,0.438265,0.725706,-1.53124,-0.183454,-0.402132,2.61129,2.81591,2.76083,3.24998,0.502843,4.93672,2.09227,1.95934,1.17389,2.00097,3.49287,-0.826679,0.315238,-0.428931,2.02028,-0.913641,-1.09555,0.766107,-0.545029,0.794725,-0.186658,-0.751735,-3.79373,1.10045,0.893935,0.176376,1.03665,2.87771,0.594593,0.890629,-0.645159,-0.621454,1.22955,1.84104,3.22005,1.85369,3.44484,0.666585,1.54598,0.595362,1.47153,0.575662,-1.3282,3.1221,1.68809,2.26909,0.762663,0.0983743,0.156363,-1.17644,1.38366,0.606701,2.14143,0.918125,2.52112,0.905615,0.699187,0.719842,0.129155,1.01483,3.77445,3.58865,2.95728,3.48573,-0.462329,3.46004
