# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 10:39:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 4
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/standata-5e846a22309f.json
# init = 2 (Default)
# random
#   seed = 1203798295
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-202509041139-3-897446.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-profile-202509041139-3-13e0c2.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.30578
# Diagonal elements of inverse mass matrix:
# 0.0771831, 0.0456838, 0.401502, 0.261125, 0.312995, 0.255447, 0.162943, 0.154782, 0.164372, 0.222138, 0.266844, 0.190626, 0.262406, 0.226138, 0.181011, 0.283042, 0.355965, 0.221737, 0.215608, 0.146569, 0.240485, 0.212178, 0.00513615
-88.87,0.969568,0.30578,4,15,0,99.2618,0.56531,1.06447,-1.91154,-1.44796,0.104746,1.14827,-0.268582,1.27063,0.716492,-0.732374,1.39557,1.93837,0.292382,0.37861,0.267513,-0.57038,1.58336,0.831472,-0.0770266,0.0207251,0.594429,1.2323,1.31259,-1.46946,-0.975998,0.676809,1.78761,0.279412,1.91785,1.328,-0.214281,2.05085,2.62865,0.876542,0.968329,0.85007,-0.0418429,2.25075,1.45039,0.483318,0.587372,1.19806,1.87706,-0.975079,0.10133,0.130367,-4.90622,-0.382173,0.633742,-2.73501,-1.85372,-3.08603,1.49124,2.3043,-1.4695,2.81588,1.21897,3.71578,2.64259,-1.74415,1.91939,-1.14279,-0.478269,0.181153,-0.312596,-0.232663,0.616705,1.02943,1.60605,2.60842,0.549297,0.436935,3.05494,2.47001,0.670014,1.66658,-0.783643,2.30892,0.934225,-0.675292,0.208529,1.04689,1.47229,3.30479,-0.4413,-0.797097,-0.777752,1.55201,1.08023,0.119301,-1.1774,0.688385,3.33419,2.99747,2.45847,1.17293,4.24672,3.53752,1.90148,1.13515,3.31788,1.95684,0.784951,1.57532,2.29423,0.251112,0.485902,3.56866,2.97564,1.87446,0.968995,0.300186,-0.356871,-0.30982,0.681046,0.863832,0.705937,-1.67936,1.77529,1.33182,-0.731712,0.00584901,-2.53438,1.62574,1.14184,1.25072,4.04582,2.05451,1.06409,0.638754,1.72942,0.561083,-0.307695,2.50372,1.41404,0.82105,-1.57428,0.565574,1.36898,1.89253,0.732946,-0.567264,-1.83931,0.00914779,2.36391,-0.515121,-0.303957,1.6334,1.80304,-1.8427,-0.0696344,0.427162,1.22101,4.01454,2.11537,1.7634,3.306
-88.372,0.956148,0.30578,4,15,0,102.676,1.01783,1.25276,-0.555882,-1.80999,0.308192,0.437182,-0.345583,0.200737,-0.0438606,-1.62649,1.24266,1.6224,-0.581228,-0.0119342,0.572921,-1.51383,0.171871,0.244372,0.0183324,-0.761306,0.115264,0.806812,1.1186,0.321442,-1.24965,1.40392,1.56551,0.584895,1.2693,0.96288,-1.01978,2.57458,3.0503,0.28969,1.00288,1.73556,-0.878639,1.23314,1.32397,1.04079,0.0640961,1.16222,2.02857,0.512429,-0.706001,-1.04661,-1.09871,-2.88666,-2.13109,-2.10616,0.126433,-0.641602,1.8512,-0.338694,1.44372,3.08709,2.11725,1.93447,0.817144,0.414144,0.960808,1.23436,1.58161,1.26265,-0.995204,0.0889829,0.303393,-0.572968,0.725311,1.82638,0.682928,-0.536191,-0.416627,2.76347,2.60592,2.27381,0.112753,-0.909961,0.342858,0.412422,0.213379,0.911643,3.29774,0.976478,0.688252,-0.98475,-0.0898977,-0.512317,-1.96688,-1.37632,0.440379,3.31941,1.99442,2.89614,3.59614,2.60432,2.8664,3.95452,1.49014,1.59905,3.45498,4.9406,1.93066,1.00427,1.05803,0.765785,-1.42811,1.11382,0.163484,-0.161078,0.229187,-0.301434,0.733839,-2.47983,0.271277,1.45634,1.5985,2.18993,2.40138,1.2322,-1.42224,-1.76548,-1.94296,-0.117095,0.306233,-0.773046,2.7416,2.70321,0.894205,2.04417,2.79364,1.93492,2.18863,-1.30531,1.12933,0.233756,-0.204134,-1.24143,-0.100153,0.421581,0.349829,1.24564,1.50932,-1.79457,0.0230306,-0.527242,2.00742,4.10569,2.2866,0.0498069,2.4032,1.62112,3.58626,1.55167,1.82372,2.75247,1.95758
-96.2151,0.91923,0.30578,4,15,0,111.026,0.664734,1.00158,-1.92937,-1.18282,0.187102,0.202184,-0.0936122,1.48947,1.32851,-1.0517,1.7399,1.89592,-0.461591,0.21979,1.50208,-1.11017,0.766081,2.21615,-0.115622,-0.527499,-0.722425,1.45061,1.24975,-1.26768,-0.519953,0.852131,0.867238,0.570974,2.15656,1.99535,-0.38863,2.40738,2.56366,0.202414,0.884872,2.16919,-0.447188,1.43203,2.88438,0.548929,0.136401,-0.0588331,2.11764,-0.347143,-1.4937,0.361893,1.1645,-0.898473,-0.475614,0.935006,1.37249,1.90052,0.426715,-1.27471,-0.000222233,-0.326756,1.66481,2.24924,2.1044,1.85841,-0.871276,0.481162,-0.147149,1.15435,0.984743,1.44272,2.11631,2.04666,1.09215,2.8989,2.17675,2.86473,3.1578,0.916915,2.72635,1.97986,2.15151,3.1482,2.24081,3.15379,2.47311,3.21584,0.80298,2.00762,1.19087,1.0276,-2.40327,-1.45744,-0.134538,0.123689,-0.603128,4.39326,2.82412,3.19483,2.91177,2.53609,3.41116,3.75811,2.46327,2.94455,0.734135,1.89086,-2.11733,1.34327,1.93523,-3.00448,0.341122,2.545,0.259629,-0.502631,0.357677,1.58594,0.775783,0.24741,1.64132,3.24662,1.92263,3.2165,-0.212968,4.6472,-1.67021,0.920073,0.349502,2.73723,0.824248,3.77245,0.690509,3.28247,2.67517,1.44622,-0.299289,1.87786,-0.21983,0.243988,1.40553,-0.393526,-1.40951,-1.02856,-0.839577,0.596179,-2.30231,-1.46242,-0.24583,0.274373,1.59612,2.2161,-0.511082,-2.20318,0.939183,-1.09472,2.42858,5.11463,3.61071,2.78733,4.03473,0.11196,2.20255
-91.4709,0.982161,0.30578,4,15,0,105.406,1.2643,1.17437,-1.23307,-1.25166,0.479144,0.140171,-0.745451,0.368991,-0.214051,-1.61514,0.719886,1.17612,0.106935,-0.060219,-0.316385,-1.83074,0.83578,-0.0553807,-1.15382,-0.974247,-0.753044,0.344294,1.14435,-0.183778,-0.205608,1.82699,1.42891,0.388864,1.69763,1.01292,-0.632472,2.10971,2.64549,1.38988,1.19358,0.892746,-0.885659,2.24581,1.19926,-0.0907154,0.120173,0.379947,1.66862,0.352293,-0.590578,0.835776,-0.827004,-1.23343,-1.69387,-0.0135379,-0.499578,-1.86397,2.64338,1.39337,1.49458,0.599342,0.901097,-1.12135,1.37551,1.71953,0.605946,0.412581,-0.268731,0.388287,1.00536,0.372371,-0.879216,2.65878,1.78031,-0.648643,1.14318,3.96181,0.891383,2.63885,1.81292,2.1309,1.74146,2.1093,2.33991,-0.862978,2.45717,2.26081,1.01547,0.200463,0.37772,-1.69606,0.42931,-0.438702,-0.321596,-0.807029,-3.11457,2.13129,2.10394,2.20219,2.01772,4.13766,1.63967,2.90358,3.31342,1.69499,2.21021,2.30924,-0.258632,0.945204,0.383284,4.35561,1.67029,2.79177,-0.233728,2.30769,2.235,1.56745,-1.13615,1.03053,0.619769,0.298614,1.93197,0.657119,-1.22114,1.93329,-0.0435214,-0.743778,-2.94856,2.18027,2.14479,0.866909,1.64859,1.24414,1.31209,0.285686,-0.734171,-0.755489,0.637879,-0.19081,0.634127,-0.170196,-1.06189,-1.08284,-1.49203,1.5842,0.129322,-1.33676,0.0923508,0.768245,-1.54575,1.93558,-0.0834416,1.62216,-0.281607,0.841889,1.79448,2.88237,0.487428,0.0333938,2.08738,-1.00972,0.639003
-96.7377,0.974478,0.30578,4,15,0,106.76,1.08656,0.815677,-1.45315,-2.60299,0.228225,0.785196,-1.22738,1.4298,0.369722,-0.719768,1.5705,2.10667,-0.515742,-0.6232,-0.884991,-1.25475,0.125736,0.669743,-0.506724,-0.817593,-0.658742,0.876758,1.3905,-0.0987459,-1.03664,1.27272,1.72703,0.0854103,2.25282,1.38813,0.49946,2.36758,2.80492,0.66588,0.578229,0.364692,0.0630855,1.18912,1.63285,0.673236,0.419667,0.549238,1.80171,0.267867,-1.37892,-0.560257,-2.75453,-1.41388,-1.24359,1.04685,-0.0917726,-1.55954,1.04525,3.78159,2.88263,0.960487,3.82857,0.633988,3.00572,1.16234,0.0751816,1.91018,-0.241996,0.466517,0.654171,-0.178906,-1.76351,2.59766,0.395565,2.80053,2.70351,4.31394,0.911889,0.309635,1.37652,-0.561984,0.864998,0.294485,2.00109,1.53001,-0.515887,2.73788,1.6414,-1.32121,-1.50984,-1.22922,0.525348,-1.67487,-1.02883,-1.39815,3.22254,2.66537,2.59577,1.57371,3.0607,2.94444,1.37136,2.08126,1.88645,2.41835,4.22647,1.48612,1.32986,-0.3507,-1.56501,0.752246,2.05629,-0.362834,1.05487,-0.823112,0.452928,-0.128411,-0.157343,0.181001,-0.529,-0.2164,-1.39522,1.78071,0.712323,1.63588,-0.922408,-0.363892,-1.59993,-0.380558,2.9461,1.00159,-0.365391,1.72182,1.18194,0.238787,0.357321,1.3255,1.71441,-1.24637,-0.312357,-0.549111,0.0391521,0.387183,1.38644,-1.22189,1.64574,0.128976,0.916903,-0.238432,0.733101,-0.430438,0.0726924,-0.388201,1.88743,0.193091,2.97198,-0.14419,2.45667,3.05504,0.0863496,2.38958,3.4747
-104.279,0.99846,0.30578,4,15,0,118.311,0.935759,0.73924,-2.2417,-0.944623,0.0372673,0.987808,-0.804022,-0.445058,-0.92703,-0.825549,1.78697,2.2253,0.0214039,-0.300932,0.618221,-1.79736,0.165157,1.29401,-0.671826,-1.17211,-0.515569,1.72381,1.21136,-0.721398,0.237456,0.963308,1.66599,0.341393,0.606754,0.250461,0.32548,2.25676,2.58079,0.951582,0.713298,1.39277,-0.39292,1.05785,1.89234,0.439118,0.0692843,0.55463,2.21007,-0.982191,0.74079,0.260617,-2.54617,1.85446,1.15954,-0.435968,1.0507,1.61093,-0.573339,0.990484,0.366455,3.84389,0.964392,4.13718,3.56346,1.50248,1.64128,-1.05404,-0.135893,1.65618,0.260841,0.279326,-0.492136,1.71983,-0.161961,0.391672,3.73897,-1.56696,0.096179,0.742955,0.922698,0.139313,-0.0216678,0.66606,-0.00428009,-1.09699,1.15229,0.935211,-1.16085,1.46673,0.770009,-0.396796,1.88277,-0.232832,2.2895,-0.275207,0.710582,2.17827,2.14051,0.696895,3.56584,3.74111,3.29385,5.1101,1.81004,0.629918,2.56212,1.29162,0.71887,0.154365,-0.666478,1.23406,1.89894,0.421741,-0.204387,0.503466,-0.599173,-0.195272,0.379668,-1.13534,-0.0763166,0.820303,2.57735,2.63894,0.910171,0.700834,-0.134729,-0.515495,3.75695,1.27442,0.0360496,3.45184,2.86688,0.00622936,2.09654,1.59661,-0.0603254,2.10088,0.504353,2.28278,-0.826409,0.985076,0.151137,-0.293053,-0.816059,-0.376672,0.239357,3.43635,-0.298195,0.274475,1.28254,-1.11742,-1.2349,1.99999,1.79655,0.295076,3.18387,2.11057,1.55064,2.36133,2.31939,0.159692,2.22085
