# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 09:54:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/standata-2a8c6d6e25e6.json
# init = 2 (Default)
# random
#   seed = 999061964
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-202509041054-1-4ea11a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-profile-202509041054-1-4c388e.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.343191
# Diagonal elements of inverse mass matrix:
# 0.893725, 0.6054, 0.942855, 1.07515, 0.884486, 0.841611, 0.987752, 1.00351, 1.06613, 0.893627, 1.06946, 1.00875, 1.02655, 0.891816, 0.976732, 0.79991, 1.00791, 0.992072, 1.04988, 1.02151, 1.26131, 0.984297, 1.48106
-8.68361,0.999932,0.343191,4,15,0,16.8147,1.36015,2.15695,-0.375354,-0.109828,-1.22195,1.15587,-1.55384,0.526409,0.576447,0.0220012,-1.28939,-1.37541,0.749892,0.352495,-1.34932,-0.656878,-0.254186,-0.583113,-1.10076,-0.904757,0.919701,-0.418487,0.813457,0.550528,1.12326,-1.27554,3.8533,-1.99141,2.49559,2.60352,1.40761,-1.421,-1.60655,2.97763,2.12047,-1.55028,-0.0567064,0.811882,0.102402,-1.01414,-0.591369,3.3439,0.457494,1.05886,0.831377,2.10851,0.576939,0.582719,-0.0700037,0.881241,1.97701,0.563296,-0.743567,-3.34331,-0.949918,3.28812,3.07748,2.51255,3.71983,-2.02217,-1.183,-1.78395,-1.32634,-1.84645,-1.65562,-1.94108,-1.57802,1.78089,3.52723,2.07078,2.00739,2.03991,3.4406,1.26765,2.2766,1.72051,2.37039,3.0608,3.39256,2.77949,2.42078,2.9439,2.00779,2.58863,2.92085,0.928669,1.90813,0.944419,2.29712,2.12261,1.23729,-0.740155,-0.650044,-1.48869,-2.24879,-1.73137,-1.87607,-0.639066,-2.02003,-1.96618,-1.5527,-1.94867,4.75417,3.9823,3.44393,2.24074,3.08195,2.6299,2.1783,1.48474,2.40237,1.46976,2.77938,1.78533,-3.08547,-1.35747,-0.593443,-0.322012,-1.70527,-1.02513,-1.00615,0.356269,1.29076,-0.280838,1.34771,-0.808343,-0.282727,-0.584084,0.0517711,1.16617,-0.664609,-0.607665,-1.79274,-2.4388,-1.02172,-0.0569556,-0.132894,0.130088,0.230509,-0.554399,-0.300163,-1.65088,-0.176503,-1.34584,-1.21479,-0.86006,2.24132,3.19301,4.35973,3.72634,0.784722,0.135411,-0.303302,0.219868,-0.500796,0.193827,0.00490983
-12.2829,1,0.343191,3,7,0,21.5787,0.0687898,2.11529,1.05309,0.158089,0.499076,-0.558121,2.10517,-0.184792,-0.57747,-0.534257,1.42353,0.868525,0.333781,-1.06874,1.39102,0.0624851,-0.329296,-0.279498,1.77387,-0.123624,-0.274333,-1.36829,3.21448,2.29639,0.403194,1.12448,-1.1118,4.52185,-0.3221,-1.15273,-1.06132,3.07999,1.90598,0.774834,-2.19191,3.01121,0.200964,-0.627769,-0.522432,3.82104,-0.192711,-0.511506,-2.82555,-5.47341,0.10673,-0.733786,5.96997,-2.72391,-1.79782,4.32159,-3.47653,3.8507,1.48437,6.92481,-2.57181,-0.715077,-0.40494,-3.65363,-4.49081,1.47003,2.69272,4.07457,4.82611,4.99569,-0.820238,6.83625,-0.527413,-2.21989,5.53714,5.85881,-4.34921,-2.72018,-0.864044,-1.72368,-0.213696,-1.43358,-0.507266,-0.861643,-4.88728,-2.82185,-1.54356,-1.4298,2.05423,-4.84515,-5.62685,-0.620317,4.21344,1.62274,2.56366,-2.54312,-4.81376,8.78417,4.88916,5.5589,4.62024,8.18975,-3.00132,-1.18355,3.33477,-3.0515,1.96183,-0.254745,1.55768,-0.684466,2.09285,-2.36523,0.411031,-2.58728,-4.43197,-1.41889,-0.206374,0.785613,-0.234726,-0.752009,3.2901,-5.49496,4.75709,7.95652,8.74352,4.76746,-0.438495,7.48015,0.74961,-7.22457,-0.215789,1.67778,4.3524,2.72047,-0.433709,2.24429,3.7687,5.16154,7.10337,0.332077,2.905,-0.842869,2.73035,3.05768,0.184234,1.96961,-0.873316,1.72658,2.27045,3.9068,1.9626,1.57073,-5.04053,-3.50046,3.96816,0.867399,-8.24818,2.3174,-1.32361,-0.71018,-5.31199,1.27643,-4.58614
-9.0979,0.997538,0.343191,4,15,0,23.0434,-0.714819,1.57846,-0.26493,0.0419131,0.814862,1.03646,2.10312,1.23575,0.891693,-0.258046,0.448916,-1.17691,0.38295,-0.35632,-0.716683,-0.32327,-0.537193,0.836909,-0.183674,0.395886,-0.415942,2.19318,1.29214,-1.133,-0.64866,0.571408,0.921186,2.60488,1.23577,0.692684,-1.12213,-0.00622239,-2.57252,-0.110347,-1.27726,-1.84607,-1.22509,-1.56276,0.606208,-1.00474,-0.0899289,-1.37137,2.74703,-0.173209,-0.0185909,-0.953612,-1.89846,-0.726243,1.66406,-0.974447,1.57127,-1.94857,-0.784404,0.826493,0.779772,1.56669,-0.218593,1.70775,3.31061,2.62804,1.1463,3.44404,3.05442,4.455,2.44938,2.26677,1.85676,-2.62288,-1.21437,1.40233,2.37879,1.20221,3.10574,0.709133,-1.90013,0.894569,1.83522,-1.45282,0.652962,1.5507,1.10116,0.633245,0.959709,1.27864,-0.827313,-4.2746,0.110802,-0.675702,-1.42398,-3.29847,1.43483,-2.01009,-0.369995,1.39573,-2.2687,-3.50986,0.314309,-3.54701,-4.21164,-2.03358,-1.6045,-1.97037,-0.512409,-1.63795,1.00562,-1.13273,1.3805,-0.329699,-1.65024,-3.1722,-1.18714,-0.290861,-5.43681,-2.63834,-1.91938,-2.6797,-1.66835,1.0269,-1.87151,-1.43309,-2.26232,-2.61208,-1.19329,-2.81336,-2.02567,1.01088,0.968728,0.00191952,0.656193,1.1089,-1.84681,-2.15502,-2.24783,0.868188,-3.24462,1.12673,0.254747,0.43002,-1.89482,-0.0626563,2.96917,-0.976573,1.35285,-1.14709,0.0215307,1.59079,0.27795,-3.09007,-0.600895,-3.57044,2.71644,3.13352,2.20344,2.11552,2.07882,1.63583,1.7136
-13.194,0.976123,0.343191,4,15,0,32.7171,0.555643,2.84429,-1.27565,0.292649,-0.840697,-1.46922,1.62266,-0.62749,-0.542192,-0.867149,-0.969452,1.29549,-0.932773,-1.40966,-1.90958,0.401205,-0.910434,-0.775677,-1.23807,-0.365366,-0.849107,2.0284,0.515476,-3.07268,1.38802,-1.83554,-3.62324,5.17095,-1.22912,-0.986507,-1.91078,-2.20176,4.24038,-2.09743,-3.45383,-4.87575,1.69679,-2.03389,-1.65061,-2.9658,-0.483562,-1.85946,6.32501,-1.90467,-3.14879,1.47806,1.19382,1.74135,2.1354,1.67126,1.28662,1.91698,-1.97817,-1.69831,-2.12798,-4.02171,-3.30524,-3.21002,-3.7174,4.99513,4.93652,4.89574,3.80019,5.12185,5.0801,5.68255,6.08734,-1.6267,-1.82888,-1.05659,-2.99101,-2.28933,-1.22023,-1.1175,-0.554812,-1.79996,-0.592949,-1.2287,-0.407876,-1.5441,-1.87365,-0.965567,-0.981773,-1.13854,-1.39923,-2.38659,-1.71593,-2.46421,-1.24288,-2.53833,-1.82791,-2.24571,-2.74149,-2.01964,5.77226,5.48138,3.5772,4.82344,4.56722,3.66151,3.61381,4.4363,-1.50641,-2.16192,-2.42243,-2.72465,-2.28026,-3.8699,-4.2494,-3.82118,-3.73808,-3.50646,-4.2308,-4.27952,-5.35994,-4.06267,-4.40171,-4.20598,-4.42158,-4.70508,1.59569,1.40142,0.615401,-2.50747,-1.76,-2.11169,-1.63766,-1.74732,-1.72227,-1.42077,-3.14176,-3.49728,-2.7329,-3.43006,-2.03614,-0.297423,-0.786552,-1.16583,0.225196,-0.698206,-0.565548,-1.40856,-0.741926,-0.103177,0.149806,-0.870725,-2.60573,-1.57687,-1.81325,-2.38404,6.58359,5.78862,6.99894,6.78381,5.9103,7.24119,6.17892
-8.75616,0.985019,0.343191,3,7,0,13.9773,0.292598,2.52464,0.174004,0.368271,0.222896,0.334734,-0.607157,0.637637,0.220032,-0.501692,0.354105,1.7088,-0.343671,0.520858,0.0478919,0.447982,-0.291803,1.40579,1.86005,2.20486,-0.198599,0.629984,0.212363,0.731896,1.22235,0.855332,1.13768,-1.24026,1.9024,0.848099,-0.973995,1.18659,4.6067,-0.57505,1.60758,0.413508,1.42359,-0.444102,3.84172,4.98856,5.85909,-0.208794,1.88308,0.634488,0.136757,1.26057,0.931038,1.09119,1.15296,1.39753,1.15863,1.41699,0.655861,0.667324,0.769766,1.10063,0.779549,1.30954,1.18578,-1.40822,-1.27349,-1.0788,-1.12518,-1.25897,-1.03664,-0.954989,-1.26942,2.37158,1.9475,1.98639,1.96354,1.9138,1.87169,1.47495,1.89285,2.05206,0.761115,0.810776,0.936849,0.546571,0.980951,0.855565,0.721546,0.917434,1.01908,-1.10386,-1.17786,-0.978137,-1.10528,-0.61658,-1.06302,1.13729,0.858698,1.45584,4.36074,4.26018,4.40292,4.60061,4.31778,4.42193,4.63764,5.00835,-0.856924,-0.733097,-0.880536,-0.727,-0.545411,1.84333,1.41465,1.6906,1.39594,1.8244,1.74823,1.72324,0.966003,0.233855,0.556145,0.63042,0.283055,0.886585,1.02549,1.17524,1.48155,-0.366496,-0.809338,3.63141,3.86879,3.77364,3.784,3.64617,4.99796,5.25296,4.86153,5.26487,4.64841,5.88156,6.0962,5.78883,5.8748,5.90507,5.70867,5.92453,5.76426,5.66071,5.50722,5.9765,-0.215841,-0.245517,-0.00244975,-0.247705,1.77284,1.75186,1.95088,1.92227,2.1396,1.82267,1.48415
-11.9176,0.898745,0.343191,4,15,0,23.9356,0.112993,1.92357,0.0308997,0.166475,1.17434,-0.142816,-0.335895,1.15513,-0.569511,-0.480359,0.769143,-0.260088,-0.970803,1.81253,-0.563133,0.908799,0.306076,1.26916,1.95808,2.09007,1.51043,0.623073,2.14895,0.172431,0.433219,2.37192,-0.161724,-0.533125,2.33497,-0.982503,-0.811012,1.5925,-0.387305,-1.75442,3.59952,-0.970236,1.86114,0.701753,2.55431,3.87951,4.1334,3.01843,1.31152,-2.08478,-0.571466,2.77371,-2.06468,1.40919,1.01064,-0.830039,-5.08375,4.01618,-0.294607,5.75146,2.50758,-0.0372441,-3.93007,-1.08962,-0.336017,1.53167,1.36112,-1.71272,1.86606,-3.46137,1.24766,-2.91332,2.21705,2.26795,0.66627,0.435221,1.54728,0.59307,1.89588,1.38123,3.17696,4.11294,-1.77026,1.42062,-1.92173,-1.17054,-0.327623,-2.20084,-5.6745,2.26449,2.32137,-1.45847,-1.035,-3.9551,-0.39373,2.66391,-1.23432,0.559054,1.91472,2.70862,3.056,2.72541,-0.9371,-2.56425,2.67199,1.01422,0.122642,0.152039,-2.38898,0.11715,-4.76362,-2.82548,0.220452,1.92964,4.68936,5.16229,2.80641,1.52075,6.91431,6.42582,-0.960608,-4.80063,-2.11097,0.666901,-0.462417,-3.51469,2.22505,3.65372,1.55818,-0.523019,0.121833,2.5074,3.94108,3.61635,5.23512,3.10944,2.50748,-0.576912,5.66818,3.64154,2.08157,2.71836,-1.0437,5.53756,1.81256,1.45977,6.10233,5.62464,0.339696,3.99057,7.28697,4.79833,5.27203,3.29349,1.70357,2.23922,4.4224,2.4508,1.06111,3.8237,3.60215,1.19036,-3.3858
