# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 09:54:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/standata-2a8c6d6e25e6.json
# init = 2 (Default)
# random
#   seed = 999061964
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-202509041054-4-4ea11a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpY7SCYZ/hierarchical_model-profile-202509041054-4-4c388e.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.386343
# Diagonal elements of inverse mass matrix:
# 0.783047, 0.618505, 0.944778, 1.01606, 0.844794, 0.899895, 0.849402, 1.12711, 0.880553, 1.04541, 1.01134, 0.77948, 0.926408, 0.885636, 0.815591, 1.14942, 0.6957, 1.03025, 1.14103, 0.911293, 0.992818, 0.733162, 1.16328
-9.14419,1,0.386343,4,15,0,23.0004,-0.927003,1.50382,-1.57669,-0.915165,-0.650558,0.941815,1.0527,-1.18399,-0.15941,1.26328,0.614241,0.64131,-0.0528343,1.66421,-0.642431,-0.113018,0.193566,1.22763,-0.426448,-0.952244,-0.339349,-1.13045,1.34906,-3.29806,-2.30325,-1.90532,0.489317,0.656074,-2.70751,-1.16673,0.972737,-0.00329574,0.0374116,-1.00646,1.57567,-1.8931,-1.09696,-0.635915,0.919133,-1.5683,-2.35901,-1.43732,-2.62699,-3.71599,-3.37419,-4.21478,-3.9858,-3.61426,-1.29592,-1.88866,-3.9968,-1.29636,-2.52638,-0.189099,-3.50029,0.788389,0.990914,0.138848,-0.97232,1.46989,2.4149,2.09328,3.25564,-1.03947,1.20324,-0.250919,0.336377,-3.84977,-3.5644,-0.030327,-1.54105,-1.15891,-1.52861,-2.49663,-4.02109,-3.03407,-0.220414,-3.18414,-0.784762,-2.04311,-3.45501,-3.02616,-3.0134,-1.11322,-2.53339,-0.667812,1.14549,-0.867774,-0.441579,1.1392,2.69522,2.82869,1.22713,-1.92973,-1.06395,0.0527288,1.20776,2.2312,0.835571,0.581522,0.824627,0.459901,0.467146,0.386519,-1.90604,-2.18048,-2.42402,3.35134,1.17343,3.02679,2.59926,1.48909,0.802135,-0.672392,-1.67381,-0.127159,-4.72769,-1.51031,-3.68031,-0.885154,0.232505,-1.17197,-1.70839,-0.234833,-1.71328,1.31681,2.29652,2.6006,0.289144,0.41161,-0.369398,-1.55457,-3.29908,-0.54667,-1.13634,-2.68439,-3.30404,-2.2653,-0.599044,-3.58631,-4.67743,-1.98822,-0.781347,-3.24887,-3.41193,-5.05171,-2.60002,-2.09409,-1.34095,-4.1696,-1.55835,-1.49613,-3.74997,-1.20761,-2.50117,-1.69112,-1.79228
-7.76176,0.839705,0.386343,4,15,0,16.3885,-0.431534,1.60836,0.611332,-0.647258,-0.870783,-0.00470702,1.09976,-0.272493,-0.426167,-0.894871,0.695488,1.51311,-1.56591,0.649202,-0.374444,-1.5071,-0.211518,-0.593063,0.489696,0.599629,-1.4159,0.421949,1.20669,0.551708,-1.47256,-1.83207,-0.439105,1.33727,-0.869802,-1.11696,-1.87081,0.687062,2.0021,-2.95008,0.612616,-1.03378,-2.85549,-0.771731,-1.38539,0.356074,0.532886,-2.70881,0.247113,-0.815988,1.07162,-0.964398,-1.35402,-0.518824,-0.988067,-1.49565,-2.6453,-2.66486,-2.48555,-2.85851,-4.06567,-0.892302,1.11506,-1.36954,-1.28775,0.689135,1.24929,1.92375,2.09837,4.43147,0.850504,2.97461,1.1456,-0.674483,-2.01128,-0.43656,-0.0457925,-2.37764,-0.969251,0.406287,-1.09857,-0.448355,0.00886176,-1.51954,-0.660992,-1.09661,-3.32065,0.618789,-1.8844,-2.06262,-1.35689,0.978694,-4.07697,-0.998015,-2.2359,-4.14548,-2.57558,1.40638,2.14403,1.85635,0.47106,1.49567,2.01507,-0.3631,1.1435,2.63562,2.7649,3.02837,-3.09157,-2.26861,-2.43474,-2.48627,-3.66344,-0.473712,1.35971,0.540674,1.29668,1.7337,0.810115,1.66092,0.975152,-2.34078,0.784315,-0.127036,1.55642,-1.17579,-2.53624,-3.99478,-4.14523,-1.5775,-1.45618,0.245315,-1.94894,-0.681633,-4.3212,-2.55833,1.06009,-0.30271,0.694795,-1.60293,-0.94416,0.437544,2.2441,1.12128,0.40505,0.199044,0.583918,0.425416,1.43586,0.906369,0.470149,-1.64317,-1.86134,-4.71485,-2.34881,-1.05918,-0.500437,-0.174911,0.719514,-1.16184,-0.570091,0.411994,-0.133416
-16.932,0.880986,0.386343,4,15,0,27.1872,1.36935,2.6616,-1.37464,0.302972,0.520451,1.31357,-0.444769,1.30359,2.44747,2.14587,-2.0322,-0.811417,1.84271,-0.731988,-0.538353,0.873807,0.800079,-1.11954,1.89475,0.202471,0.835078,-0.177314,0.920792,-2.28939,2.17574,2.75458,4.86553,0.185551,4.83898,7.88354,7.0808,-4.03955,-0.790319,6.27391,-0.578911,-0.0635344,3.69507,3.49884,-1.61043,6.4124,1.90824,3.59199,0.897407,-3.08434,-3.05858,0.859267,2.54729,3.3741,2.25808,1.75516,0.546755,1.49991,2.06943,2.86862,1.8934,5.95492,5.84577,3.39755,6.08331,1.38147,-0.99817,0.638003,0.714744,0.521872,-0.433915,1.18312,0.293955,5.30857,5.38594,5.04056,4.79241,6.50467,4.94809,5.11666,5.87222,2.98473,8.02447,7.59369,5.96762,7.53161,8.02558,8.5258,7.3204,9.80474,9.27523,7.81451,7.51049,7.39856,6.1093,6.65831,6.98892,-2.30681,-5.84694,-4.83229,-0.111088,-0.72823,-0.433252,-1.03293,-0.981624,0.507223,-0.368586,-1.52331,5.53353,8.01221,5.79961,5.72057,6.04089,-0.228779,-1.50479,-0.401866,-1.96921,-0.133587,-0.877187,-0.338697,-0.403052,-0.0165237,1.22355,0.403136,-1.27946,-0.459827,3.72553,2.92652,3.58229,4.8423,3.99045,-2.54166,-0.75846,-0.390699,-1.87255,-2.84004,6.00629,5.70064,6.5076,7.23492,7.44957,3.4281,1.43606,2.54869,2.87493,3.29738,1.46983,1.9902,3.83156,1.74412,2.15554,2.46307,3.34454,4.7076,4.08563,4.64862,0.622262,0.933514,0.578287,0.024089,-0.640153,0.857511,0.644192
-8.83674,0.993299,0.386343,3,7,0,32.5256,0.507235,2.46323,0.379325,-0.496702,-0.217164,0.1246,-0.21841,-0.427007,-0.365134,-0.979493,-1.46346,0.833067,0.535627,0.774101,1.32379,1.14419,-0.91723,-1.36177,-0.744371,1.79648,-1.29245,0.790165,1.62674,1.4416,-0.716254,-0.0276887,0.814152,-0.0307577,-0.544579,-0.392173,-1.90548,-3.0976,2.55927,1.82661,2.41402,3.76803,3.32563,-1.75211,-2.84713,-1.32632,4.93236,-2.67636,2.45359,1.72548,2.99729,-1.35337,-1.29929,-0.936401,-0.611782,1.55513,-1.7785,-2.48423,0.642766,-4.15554,-1.22022,0.463764,-0.470886,0.360561,-0.266139,-2.36701,1.48417,0.909622,3.51588,1.52055,-0.903032,-1.32447,0.695818,-2.67256,1.27998,-2.52852,1.7235,-0.509079,-1.50968,-1.50685,0.89768,0.270087,0.341932,-2.44237,-4.36176,-2.19505,-1.74715,-2.19901,0.480693,-2.03316,0.014241,-2.24684,-2.75721,1.83283,-1.62717,-3.70927,-1.99062,-2.32579,-7.60632,-2.85574,2.23549,1.7168,3.63395,1.16,2.43358,4.26131,1.33468,2.20278,1.43313,2.93641,2.88631,-0.458607,2.31801,3.18203,3.21563,3.07435,2.1266,1.30672,2.56059,2.54412,5.83229,3.29655,3.30849,4.17532,5.31972,6.98169,6.0155,1.54035,3.11678,-0.752082,-1.12921,-4.82789,-0.671835,-2.33919,-1.78646,-1.9565,-1.29667,3.21646,-1.61788,-3.57629,-1.44709,4.92823,4.08659,4.05835,6.66155,8.12502,6.83676,6.14759,6.11443,5.72441,8.80326,2.86217,-1.35643,-2.80283,-5.75574,-1.89026,1.57512,0.914423,2.47716,0.286844,0.345813,1.78999,1.54245
-7.14662,0.952457,0.386343,4,15,0,13.1013,0.922002,3.57219,0.956874,-0.281078,-0.255021,-0.223861,-0.989029,-1.25518,-1.0014,-1.02326,-1.43863,-0.146484,0.616295,0.359294,0.314978,0.490705,0.884074,-0.61356,-0.0276866,1.30146,-0.865414,-0.451181,0.83304,4.34014,-0.082063,0.0110177,0.122328,-2.611,-3.56175,-2.65517,-2.73329,-4.21705,0.398733,3.12352,2.20547,2.04716,2.67489,4.08008,-1.26975,0.823101,5.57108,-2.16942,-0.689702,5.813,4.90202,0.0775392,-0.65681,-0.63922,-0.199476,-0.0851247,-0.940607,-0.558925,-0.0285479,-0.720588,0.774879,-0.519979,0.286914,-1.95177,-0.829758,-3.41546,-3.49668,-1.73922,-2.80544,-2.13043,-2.24513,-2.33415,-2.65834,-2.95008,-3.56039,-2.13875,-4.07664,-4.19581,-3.71895,-4.41094,-5.17398,-3.44437,-3.03691,-2.51521,-3.26984,-3.22087,-2.38069,-2.55267,-1.38356,-3.24332,-3.7967,-1.93619,-2.34624,-2.97526,-2.19066,-3.07915,-3.99604,-4.58222,-5.96418,-5.27038,1.26274,-0.411427,2.15227,0.80805,1.11029,-0.235618,0.525441,-2.15793,3.43663,3.67801,3.25022,2.33967,3.49604,1.73183,2.91981,2.50784,2.6796,3.00901,1.45534,2.97753,2.99746,2.74383,1.06666,2.28058,0.8375,2.50533,3.69774,1.97473,2.06497,3.27608,3.1473,-1.46284,-2.62308,-1.43968,-0.816684,-1.39275,0.99814,-1.3691,1.52482,2.18557,0.859256,5.12422,5.20773,5.06904,5.41135,4.60015,5.35675,5.88052,5.61424,5.24944,4.0929,5.27722,-2.5745,-2.5826,-2.05523,-3.02406,0.409548,-2.61146,-0.449764,-0.0912435,-1.58941,-1.18477,-0.62811
-18.5028,0.64737,0.386343,4,15,0,30.3701,2.39672,2.9913,-0.149873,0.147365,-0.22465,-1.13965,0.147831,-1.17954,-0.968262,-0.404241,0.851527,3.2627,-1.18401,0.719533,1.37944,0.364006,-0.0677899,-0.0151074,1.48046,1.5629,0.0682075,-1.1702,0.0270072,1.9484,2.83753,1.72472,-1.01232,2.83892,-1.13164,-0.49965,1.18751,4.94389,12.1565,-1.14503,4.54906,6.52305,3.48557,2.19394,2.35152,6.82522,7.07183,2.60074,-1.1037,1.91915,1.91215,2.83421,2.81536,2.86467,2.8848,2.88043,2.85066,2.76228,1.72942,1.70213,1.72125,-1.05247,-0.999143,-0.976078,-0.983245,2.85379,2.82146,2.84873,2.82411,2.84843,2.86038,2.85556,2.80012,-1.1348,-1.15111,-1.07689,-1.08543,-1.17011,-1.08731,-1.10078,-1.18601,-1.0843,-0.514659,-0.494255,-0.466614,-0.473804,-0.498189,-0.511289,-0.48886,-0.491486,-0.523766,1.16378,1.17916,1.19702,1.18442,1.17041,1.15017,4.98699,4.89264,4.9566,12.1576,12.161,12.1538,12.1826,12.1247,12.1561,12.1376,12.1748,-1.11075,-1.13168,-1.13898,-1.13248,-1.15421,4.55239,4.56928,4.51708,4.55134,4.58658,4.53054,4.56564,6.53574,6.49919,6.49695,6.5231,6.46457,6.57075,3.53257,3.48713,3.49782,2.17654,2.16404,2.31591,2.33513,2.3316,2.32489,2.34721,6.83915,6.82506,6.81188,6.82825,6.84039,7.06389,7.06144,7.04887,7.03714,7.05989,7.08118,7.08723,7.07112,7.05854,7.06907,7.04181,2.59293,2.63205,2.58542,2.58919,-1.09402,-1.12353,-1.13509,-1.109,-1.11948,-1.10848,-1.1054
