# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 10:38:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 4
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/standata-5e8429294abf.json
# init = 2 (Default)
# random
#   seed = 999061964
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-202509041138-1-4ed512.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-profile-202509041138-1-4c6c86.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.343191
# Diagonal elements of inverse mass matrix:
# 0.893725, 0.6054, 0.942855, 1.07515, 0.884486, 0.841611, 0.987752, 1.00351, 1.06613, 0.893627, 1.06946, 1.00875, 1.02655, 0.891816, 0.976732, 0.79991, 1.00791, 0.992072, 1.04988, 1.02151, 1.26131, 0.984297, 1.48106
-8.68361,0.999932,0.343191,4,15,0,16.8147,1.36015,2.15695,-0.375354,-0.109828,-1.22195,1.15587,-1.55384,0.526409,0.576447,0.0220012,-1.28939,-1.37541,0.749892,0.352495,-1.34932,-0.656878,-0.254186,-0.583113,-1.10076,-0.904757,0.919701,-0.418487,0.813457,0.550528,1.12326,-1.27554,3.8533,-1.99141,2.49559,2.60352,1.40761,-1.421,-1.60655,2.97763,2.12047,-1.55028,-0.0567064,0.811882,0.102402,-1.01414,-0.591369,3.3439,0.457494,1.05886,0.831377,2.10851,0.576939,0.582719,-0.0700037,0.881241,1.97701,0.563296,-0.743567,-3.34331,-0.949918,3.28812,3.07748,2.51255,3.71983,-2.02217,-1.183,-1.78395,-1.32634,-1.84645,-1.65562,-1.94108,-1.57802,1.78089,3.52723,2.07078,2.00739,2.03991,3.4406,1.26765,2.2766,1.72051,2.37039,3.0608,3.39256,2.77949,2.42078,2.9439,2.00779,2.58863,2.92085,0.928669,1.90813,0.944419,2.29712,2.12261,1.23729,-0.740155,-0.650044,-1.48869,-2.24879,-1.73137,-1.87607,-0.639066,-2.02003,-1.96618,-1.5527,-1.94867,4.75417,3.9823,3.44393,2.24074,3.08195,2.6299,2.1783,1.48474,2.40237,1.46976,2.77938,1.78533,-3.08547,-1.35747,-0.593443,-0.322012,-1.70527,-1.02513,-1.00615,0.356269,1.29076,-0.280838,1.34771,-0.808343,-0.282727,-0.584084,0.0517711,1.16617,-0.664609,-0.607665,-1.79274,-2.4388,-1.02172,-0.0569556,-0.132894,0.130088,0.230509,-0.554399,-0.300163,-1.65088,-0.176503,-1.34584,-1.21479,-0.86006,2.24132,3.19301,4.35973,3.72634,0.784722,0.135411,-0.303302,0.219868,-0.500796,0.193827,0.00490983
-11.2902,0.305759,0.343191,4,15,0,22.505,-1.30505,2.65542,1.07667,0.775939,0.291537,-0.719679,2.37691,-0.623048,-0.183139,-0.0681821,2.03424,0.437501,0.364936,-1.21524,1.37243,0.176505,-0.646329,-0.991857,1.22178,-0.469498,-0.0048228,-1.34984,0.724405,1.55397,0.755395,-0.530898,-3.2161,5.00665,-2.95951,-1.79136,-1.4861,4.09671,-0.143302,-0.335993,-4.53203,2.33934,-0.836356,-3.02133,-3.93885,1.93929,-2.55177,-1.31786,-4.88946,0.643264,0.28264,-0.0552134,-0.165322,1.19653,0.965701,1.47139,0.522154,0.0648762,-0.383174,0.289796,-0.748143,-3.45915,-3.58988,-3.13535,-2.91178,4.57188,4.8224,4.48044,4.49828,3.70645,4.833,5.0084,4.00067,-1.75863,-2.61403,-3.48809,-3.51539,-1.77264,-2.43591,-3.4164,-2.49035,-2.74298,-2.6697,-1.18473,-1.45049,-1.82555,-1.18024,-0.680522,-2.46103,-1.54779,-1.91479,-0.866607,-0.563628,-2.29328,0.396181,-1.47797,-2.27105,4.90948,4.43739,4.85118,-1.18676,-0.0345079,-0.303352,-0.495064,0.244012,0.771588,0.4346,-0.480464,-1.58156,0.109973,0.580272,-0.00117653,-0.388997,-4.47865,-4.93674,-4.28959,-4.21258,-4.39871,-4.13831,-4.86925,3.2808,1.74666,2.27539,1.33039,1.9142,1.2892,-2.31257,-1.65041,-0.982378,-3.39715,-3.14612,-3.4292,-4.01553,-3.02535,-3.87026,-3.75927,1.53879,2.61713,1.55385,2.35402,1.9735,-3.17145,-3.42316,-3.65335,-3.23464,-3.26624,-2.34734,-2.67731,-1.70677,-2.72423,-2.47196,-1.8895,-1.0827,-0.905984,-1.87214,-0.918578,-5.22835,-4.59106,-6.6513,-5.02449,-4.61008,-4.48451,-4.45692
-10.4653,0.839868,0.343191,4,15,0,16.9973,-0.439974,1.28364,0.0738243,1.07079,0.610932,0.0851242,0.0529734,-0.248098,-2.46767,-1.36807,-0.541037,-1.04535,-0.195837,0.421242,0.147629,1.50275,0.246235,1.12902,-1.12066,-0.161509,1.03463,-0.218689,2.27955,-0.34521,0.93454,0.344243,-0.330705,-0.371975,-0.758443,-3.60758,-2.19608,-1.13447,-1.78182,-0.691358,0.10075,-0.250471,1.48902,-0.123896,1.00928,-1.87849,-0.647293,0.888118,-0.720692,-0.35607,-3.87365,3.96335,2.53164,-0.51403,3.04372,-2.71767,0.490529,-2.57642,1.21507,-2.01498,0.451216,1.90278,2.30439,-1.32615,-0.368315,-0.621452,0.343948,0.897724,2.53015,-2.84225,-0.573619,-0.35076,-1.48224,-1.35242,3.87385,3.18164,0.223969,0.252209,0.156611,-1.00794,-0.282747,-0.0493776,0.360468,-2.37363,-3.46131,-2.59754,-6.09176,-4.74147,-7.0958,-0.291863,-2.784,-2.78898,1.07126,-2.65799,-4.80861,-8.63182,-3.60571,2.60737,-2.62514,-2.01267,-5.7963,-2.95064,-3.35405,-3.74469,-1.17472,-5.77833,-3.48082,1.2234,1.27593,1.15773,0.290804,1.11339,-0.614436,0.343328,-3.10079,-2.72118,-1.81849,3.31521,-3.44501,1.23573,-1.21975,-0.283317,6.37995,0.0424358,-0.901942,-2.80163,-0.30252,2.22122,0.245793,1.7559,-1.5368,-1.13139,2.53236,2.35232,-0.0309977,-1.66946,-0.622706,-1.4333,-4.14404,0.73397,-0.177393,4.06042,2.50111,-3.44424,-0.339068,2.72334,-1.03968,-4.01625,-1.64521,-1.28218,-1.87611,1.44874,0.766367,0.668178,3.0719,1.75891,1.62461,-0.437912,1.28789,0.634005,1.78847,-0.669152,-1.11114
-13.516,0.970529,0.343191,4,15,0,25.6448,-1.47536,2.36487,0.18956,-1.47987,2.70231,0.68562,0.458153,0.608753,-0.213185,0.179933,-0.143799,2.22475,0.197998,-0.23712,0.375607,-0.0815494,-0.864026,0.946793,-1.21536,-1.35102,-1.98595,-0.814695,0.900774,-1.02708,-4.97506,4.91525,0.146041,-0.391887,-0.0357382,-1.97951,-1.04984,-1.81543,3.78587,-1.00712,-2.03612,-0.587099,-1.66821,-3.51867,0.763681,-4.34952,-4.67033,-6.17186,-3.402,-1.01132,-1.40063,-4.65116,-6.33381,-6.75766,-7.07872,-4.9893,-5.67797,-4.76004,5.36835,4.50208,2.39087,0.308141,-1.08961,-0.410293,-0.148305,0.35114,-0.662178,0.433705,-1.23798,-1.18935,-0.75483,-0.549063,-1.91097,0.69322,0.168267,-0.748175,-0.176682,0.649131,0.452404,-0.115111,0.827947,1.17428,-2.1032,0.010559,-1.78821,-1.62326,-1.72017,-1.93116,-2.10978,-3.79262,-2.02006,-0.415063,-1.4188,-1.20815,-0.673397,-2.32882,-0.486328,-1.78376,-2.35222,-1.52133,4.51112,3.23503,2.92114,3.76831,3.229,5.30191,3.40828,3.57676,-2.39792,0.134954,-2.0504,-2.47694,-1.87151,-2.06195,-3.26163,-2.81986,-1.90489,-0.332462,-3.23173,-2.7065,-1.88287,-1.23162,-0.46138,0.41289,-1.40542,-0.234943,-2.56592,-0.74853,-1.07163,-3.02806,-1.17517,0.00165743,1.3687,1.68375,0.210343,2.77031,-6.03814,-5.40297,-4.10369,-4.02034,-5.89873,-5.56242,-4.5555,-4.9591,-4.91518,-5.49981,-4.63049,-3.54887,-5.20919,-3.49833,-6.11314,-4.57503,-5.1661,-6.46986,-6.10522,-5.97684,-4.04004,-3.12441,-3.80424,-4.24345,-4.8945,-2.90397,-3.43189
-7.44097,0.9997,0.343191,4,15,0,18.603,0.376222,2.13143,0.580104,0.652282,-0.381145,1.8674,-1.6363,1.09394,-1.34665,0.405019,-0.499675,-0.74895,-0.37807,1.04964,-0.688955,-0.641711,-0.642726,0.546614,0.188012,0.171131,0.932144,0.630017,0.94348,1.61267,1.76651,-0.43616,4.35644,-3.11144,2.70787,-2.49407,1.23949,-0.6888,-1.22011,-0.429607,2.61345,-1.09224,-0.991537,-0.993702,1.54129,0.776955,0.740974,2.36302,1.71906,1.35907,2.15217,0.509002,2.10847,2.3768,1.29483,2.51315,3.43622,2.36863,-0.437676,0.467766,-1.56273,5.27064,2.51468,5.7803,4.75671,-3.11152,-2.15625,-2.06798,-2.34961,-4.50046,-3.42357,-2.57842,-3.25901,3.6654,2.88183,4.70433,2.49024,1.22817,4.47965,2.46774,2.87667,1.7952,-1.03873,-1.2532,-2.48984,-4.17577,-2.9949,-1.77529,-2.27111,-3.61119,-2.33429,2.02651,1.10648,0.701763,0.98488,1.21889,1.84834,-0.22252,0.48819,-0.445075,-1.82249,-3.17667,-0.434808,-1.32459,-2.00948,-1.84137,-3.49308,-0.603623,-1.44855,-1.60345,0.434838,0.225111,-2.0952,2.55074,3.998,2.90538,3.60288,2.73421,2.03617,2.27134,0.273573,-0.592045,-1.20218,0.0107179,-0.0865533,-1.14543,-3.05386,-0.721387,-1.08415,-3.53733,-1.96214,-0.142107,1.29995,1.41849,1.88914,1.4014,1.26015,1.45079,0.793211,2.28971,2.5718,1.37799,1.77425,1.06218,1.01355,-0.210506,1.89499,1.26301,1.01221,-0.0888429,2.21,1.70937,2.4835,2.97885,1.69828,2.2326,3.74694,-0.397815,2.45857,2.84016,3.00187,3.3432,1.50735
-10.9884,0.990835,0.343191,4,15,0,17.4505,0.866862,1.85137,1.02072,1.12008,0.686611,0.793243,-0.0731422,1.77619,-2.86045,0.00576407,0.0239198,-0.572699,-0.876613,0.164346,0.520031,0.968943,0.19838,0.0383757,-1.03161,-0.0417187,0.587943,1.38253,0.398601,2.75659,2.94055,2.13803,2.33545,0.731449,4.15523,-4.42888,0.877534,0.911147,-0.193414,-0.75607,1.17113,1.82963,2.66073,1.23414,0.93791,-1.04302,0.789625,1.95536,3.42643,2.90859,1.75253,2.61822,2.28835,2.56636,2.85058,3.50748,3.37336,3.12016,1.64401,2.9253,2.34262,2.35384,2.01992,1.83053,2.21068,0.53311,0.720757,0.876294,0.565791,0.52279,0.530592,0.785847,0.554235,3.06348,3.84834,4.33579,4.83466,4.2421,4.17749,3.6667,4.04248,4.1922,-4.56447,-4.15281,-4.98106,-4.3606,-3.70058,-4.93718,-4.11112,-4.06091,-4.27706,1.11223,0.148105,0.662195,0.801049,1.18262,0.368714,0.917079,0.532492,1.05585,-0.349171,-0.158758,-0.0161807,0.132944,0.357663,0.236825,0.494674,-0.422926,-1.51538,-1.10501,0.182514,-1.30292,-1.08257,0.887929,0.774732,1.15872,1.31464,1.53035,0.90074,1.42444,2.24994,2.06667,1.64881,2.17696,1.74629,1.88413,2.92813,2.65718,3.19325,1.25782,1.05564,1.25791,0.442292,0.500284,0.802189,0.691345,-1.27363,-0.84951,-1.17074,-0.446094,-0.930329,1.09245,0.498056,0.541963,1.14182,0.455622,1.06659,0.695699,1.03063,0.414563,0.0791697,0.27626,1.79405,1.74875,2.1639,2.12119,3.77088,3.35682,3.53827,3.70825,2.73228,3.72617,3.82657
