# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = hierarchical_model_model
# start_datetime = 2025-09-04 10:38:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 4
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/standata-5e8429294abf.json
# init = 2 (Default)
# random
#   seed = 999061964
# output
#   file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-202509041138-4-4ed512.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/guill/AppData/Local/Temp/RtmpEB9rZq/hierarchical_model-profile-202509041138-4-4c6c86.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --name=hierarchical_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_pop,sigma_pop,eta_mu.1,eta_mu.2,eta_mu.3,eta_mu.4,eta_mu.5,eta_mu.6,eta_mu.7,eta_mu.8,eta_mu.9,eta_mu.10,eta_mu.11,eta_mu.12,eta_mu.13,eta_mu.14,eta_mu.15,eta_mu.16,eta_mu.17,eta_mu.18,eta_mu.19,eta_mu.20,sigma,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40,y_rep.41,y_rep.42,y_rep.43,y_rep.44,y_rep.45,y_rep.46,y_rep.47,y_rep.48,y_rep.49,y_rep.50,y_rep.51,y_rep.52,y_rep.53,y_rep.54,y_rep.55,y_rep.56,y_rep.57,y_rep.58,y_rep.59,y_rep.60,y_rep.61,y_rep.62,y_rep.63,y_rep.64,y_rep.65,y_rep.66,y_rep.67,y_rep.68,y_rep.69,y_rep.70,y_rep.71,y_rep.72,y_rep.73,y_rep.74,y_rep.75,y_rep.76,y_rep.77,y_rep.78,y_rep.79,y_rep.80,y_rep.81,y_rep.82,y_rep.83,y_rep.84,y_rep.85,y_rep.86,y_rep.87,y_rep.88,y_rep.89,y_rep.90,y_rep.91,y_rep.92,y_rep.93,y_rep.94,y_rep.95,y_rep.96,y_rep.97,y_rep.98,y_rep.99,y_rep.100,y_rep.101,y_rep.102,y_rep.103,y_rep.104,y_rep.105,y_rep.106,y_rep.107,y_rep.108,y_rep.109,y_rep.110,y_rep.111,y_rep.112,y_rep.113,y_rep.114
# Adaptation terminated
# Step size = 0.386343
# Diagonal elements of inverse mass matrix:
# 0.783047, 0.618505, 0.944778, 1.01606, 0.844794, 0.899895, 0.849402, 1.12711, 0.880553, 1.04541, 1.01134, 0.77948, 0.926408, 0.885636, 0.815591, 1.14942, 0.6957, 1.03025, 1.14103, 0.911293, 0.992818, 0.733162, 1.16328
-9.14419,1,0.386343,4,15,0,23.0004,-0.927003,1.50382,-1.57669,-0.915165,-0.650558,0.941815,1.0527,-1.18399,-0.15941,1.26328,0.614241,0.64131,-0.0528343,1.66421,-0.642431,-0.113018,0.193566,1.22763,-0.426448,-0.952244,-0.339349,-1.13045,1.34906,-3.29806,-2.30325,-1.90532,0.489317,0.656074,-2.70751,-1.16673,0.972737,-0.00329574,0.0374116,-1.00646,1.57567,-1.8931,-1.09696,-0.635915,0.919133,-1.5683,-2.35901,-1.43732,-2.62699,-3.71599,-3.37419,-4.21478,-3.9858,-3.61426,-1.29592,-1.88866,-3.9968,-1.29636,-2.52638,-0.189099,-3.50029,0.788389,0.990914,0.138848,-0.97232,1.46989,2.4149,2.09328,3.25564,-1.03947,1.20324,-0.250919,0.336377,-3.84977,-3.5644,-0.030327,-1.54105,-1.15891,-1.52861,-2.49663,-4.02109,-3.03407,-0.220414,-3.18414,-0.784762,-2.04311,-3.45501,-3.02616,-3.0134,-1.11322,-2.53339,-0.667812,1.14549,-0.867774,-0.441579,1.1392,2.69522,2.82869,1.22713,-1.92973,-1.06395,0.0527288,1.20776,2.2312,0.835571,0.581522,0.824627,0.459901,0.467146,0.386519,-1.90604,-2.18048,-2.42402,3.35134,1.17343,3.02679,2.59926,1.48909,0.802135,-0.672392,-1.67381,-0.127159,-4.72769,-1.51031,-3.68031,-0.885154,0.232505,-1.17197,-1.70839,-0.234833,-1.71328,1.31681,2.29652,2.6006,0.289144,0.41161,-0.369398,-1.55457,-3.29908,-0.54667,-1.13634,-2.68439,-3.30404,-2.2653,-0.599044,-3.58631,-4.67743,-1.98822,-0.781347,-3.24887,-3.41193,-5.05171,-2.60002,-2.09409,-1.34095,-4.1696,-1.55835,-1.49613,-3.74997,-1.20761,-2.50117,-1.69112,-1.79228
-19.5833,0.845988,0.386343,3,7,0,28.0647,2.09931,3.44544,0.947743,0.646949,-2.49045,0.254371,-0.711029,-2.77668,1.08724,-1.92832,-0.483352,-0.0306755,0.470552,1.30471,0.999625,-1.35927,-1.36817,0.424134,1.94263,0.287509,-1.1603,0.202224,1.83142,5.3647,4.32834,-6.48137,2.97573,-0.350492,-7.46758,5.84532,-4.5446,0.433953,1.99362,3.72057,6.59462,5.54346,-2.58395,-2.61462,3.56064,8.79251,3.08991,-1.89844,2.79606,5.06645,5.74494,6.74608,3.39336,0.738615,3.02523,5.28985,5.48606,5.88594,-6.69612,-5.4471,-5.69924,3.67966,1.89304,1.32698,4.10961,-0.45968,0.687723,1.35101,-0.0507431,1.24055,2.69851,-2.33417,2.40887,-6.0914,-3.53637,-7.68312,-6.98304,-9.1967,-9.42505,-8.69052,-8.50638,-4.99261,4.99001,6.91344,1.38957,4.06512,6.91382,4.84547,6.35941,2.8721,3.87192,-4.6893,-1.94744,-3.65158,-4.73862,-5.05128,-4.46715,0.270844,1.80442,1.0008,1.89841,-1.30904,3.27985,-1.05101,2.54,4.4973,0.859048,1.35311,4.43755,1.58216,2.48028,3.97082,3.14303,9.06421,8.92093,3.57362,7.47825,6.9373,9.13732,6.88963,6.6714,9.6561,9.38726,3.15971,5.45499,7.82326,-3.2289,-4.11356,-2.24492,-1.05359,-5.07417,5.74535,4.18328,4.33624,3.42779,0.407644,8.62316,7.91312,9.68998,11.6926,11.2329,1.42679,1.51498,3.79691,1.61239,5.49241,6.26552,3.27607,-0.0517991,2.75799,3.63665,1.58678,-0.35431,-0.839397,-1.81449,-2.62559,6.19176,4.25256,2.43862,1.46921,5.50005,0.806504,2.25088
-15.9912,0.966579,0.386343,4,15,0,24.1098,1.21095,1.98999,0.333686,-0.374398,-2.5589,1.3262,-0.704539,-1.26398,1.43445,0.637984,-0.0109489,-0.800775,-0.673794,1.84935,0.189945,-2.28837,-0.879765,0.892491,-1.12492,-1.74165,-0.0959195,1.44707,1.08607,1.87498,0.465901,-3.88123,3.85006,-0.191074,-1.30436,4.06548,2.48052,1.18916,-0.382582,-0.129893,4.89112,1.58894,-3.34287,-0.539772,2.98699,-1.02763,-2.25491,1.02007,4.09059,1.70032,0.856606,-1.6042,-0.584158,1.55414,1.94186,1.98636,-0.153342,-0.299267,-4.10446,-4.74419,-4.50417,2.99749,3.51386,4.16241,3.27173,0.279996,-0.561266,0.528348,-0.0251389,-0.256994,0.636909,-0.407253,-0.729729,-1.666,-0.426004,-1.38307,-1.51228,-1.06036,-2.27241,-0.951408,-1.67366,-0.588923,2.95066,2.35197,2.71462,3.0932,3.70057,4.47939,3.50982,4.92083,3.5967,2.79323,1.9476,2.571,2.76027,2.16057,1.96174,0.91351,0.105787,-0.381571,0.55705,0.377711,0.530759,1.42954,0.713265,-0.996582,-1.82875,-1.2422,1.71311,-1.54262,-0.0110016,1.56048,-0.53936,5.08066,5.92977,4.46576,4.50187,4.74415,4.96087,6.40759,0.879738,0.408569,2.03656,-1.16698,0.792755,1.355,-4.20081,-3.6457,-4.06411,-2.09955,0.47165,3.61482,5.35486,4.0227,2.40463,2.12326,-0.542543,-2.44835,0.190513,-2.35219,0.486623,-2.23121,-2.89926,-2.89737,-1.29201,-1.71101,-1.7648,-3.6237,-4.90516,-3.45859,-3.15955,-3.46123,1.60283,-0.0755188,1.29141,0.79216,3.52194,6.58642,4.2764,2.88631,4.03374,4.60588,1.0804
-15.9857,0.791397,0.386343,3,7,0,22.1306,-1.00694,4.34784,-1.37003,0.503069,0.8654,-0.535338,1.67319,-0.615227,0.275882,0.491674,-1.29557,-0.502675,1.4408,-0.410897,-0.761285,0.221251,2.64806,0.131805,-0.755853,-2.1867,-1.47239,-0.808917,1.64648,-6.96361,1.18032,2.75568,-3.33451,6.2678,-3.68185,0.192552,1.13078,-6.63987,-3.19249,5.25744,-2.79346,-4.31689,-0.044977,10.5064,-0.433876,-4.29327,-10.5144,-7.40867,-4.52398,-8.77214,-7.06097,1.98134,-0.344213,1.46731,3.64083,1.47195,1.65734,2.40039,5.69076,0.0543329,2.64269,-5.44038,-2.13052,-3.79681,-1.86808,8.8624,8.41902,7.88176,4.25725,6.77117,6.2287,7.23268,6.43871,-3.16716,-3.44427,-3.47668,-2.98699,-2.30884,-4.22812,-1.8696,-5.22884,-4.7325,-0.0869432,0.930398,1.50015,2.69237,1.64368,-2.68324,0.27424,-2.28856,1.95009,-0.682125,0.768696,1.96746,3.10304,0.820077,-0.547621,-9.8264,-6.40787,-7.39435,-2.91586,-4.40736,-4.31058,-2.64999,-2.98989,-0.679186,-4.35495,-5.44869,6.83288,6.02244,4.77919,6.32992,4.57385,-5.28924,-3.51522,-6.24662,-4.87534,-1.08578,-4.39472,0.672354,-3.50788,-2.91051,-5.57066,-4.06645,-9.37007,-3.69805,1.05094,0.205431,-1.59425,11.2427,9.57027,0.97801,0.163756,0.503232,1.15431,-1.91648,-2.76731,-2.41504,-2.91632,-6.23121,-3.83194,-12.9052,-9.6088,-8.49274,-11.8982,-11.7198,-12.1034,-12.358,-10.896,-13.1892,-10.8502,-9.61888,-7.65178,-7.06271,-11.7415,-6.02174,-1.83109,-4.45252,-5.40718,-5.24212,-5.51625,-4.83968,-6.443
-14.8225,0.374005,0.386343,4,15,0,23.4262,0.434213,0.286045,0.272596,-0.0787303,1.12409,-0.168224,-0.0296493,-1.74773,1.56128,1.97834,-0.416816,-0.90849,0.139674,0.0525193,-1.82195,0.197682,-1.6397,-0.234565,-0.273882,1.17163,-0.0471569,1.74227,0.503003,0.512188,0.411693,0.755755,0.386094,0.425732,-0.0657169,0.880808,1.00011,0.314985,0.174344,0.474166,0.449236,-0.0869469,0.490759,-0.0348158,0.367117,0.355871,0.769353,0.420724,0.932581,0.556866,-0.594906,0.304516,0.894015,-0.0761413,-0.281975,0.323857,0.314895,0.400413,1.46605,1.04067,0.535738,0.587209,0.261084,0.598429,0.895416,0.671343,0.830122,-0.0991004,0.0215324,-0.128577,-0.493835,0.196211,0.773507,-0.0809023,0.0288855,0.130761,0.226786,-0.28398,-0.0706031,0.0273869,-0.412023,-0.743155,0.591867,0.894325,1.36516,0.681797,1.39345,1.4924,1.40314,0.609465,-0.391511,1.22854,0.957773,1.98343,1.31571,1.37126,1.42082,-0.156407,-0.0657504,0.371743,-0.057418,0.217102,0.503869,0.633991,-0.143961,-0.205203,-0.0958218,0.158667,-0.0106889,0.143353,0.507519,0.259874,0.18673,-0.196889,0.226814,0.623233,0.736015,0.435918,0.201582,0.397804,-0.646129,-0.232569,0.496044,-0.37233,-0.302203,0.0933028,0.121406,-0.0938119,0.392113,-0.328742,-0.123779,0.335474,1.26512,0.240714,0.886745,0.808478,0.329893,0.619052,0.234612,0.553822,1.06096,0.827381,0.869529,1.16025,-0.654512,-0.141298,0.683117,1.1729,0.460091,0.25885,0.661487,0.511245,0.255075,0.948475,-0.0133867,0.621475,1.3133,0.950555,0.319551,1.13944,0.93544,1.07776,0.928445
-14.3901,0.832437,0.386343,4,15,0,25.6494,0.566535,3.12939,1.0126,-2.35448,0.0543316,-0.28673,-0.970518,-2.04192,0.704827,0.364387,-0.137524,-0.405748,-0.286423,0.0864081,1.53816,0.4598,1.7381,-0.19192,0.352125,-2.39028,-0.490926,0.0637623,0.0791285,3.73536,-6.80157,0.73656,-0.330757,-2.4706,-5.82345,2.77222,1.70685,0.136167,-0.70321,-0.329796,0.83694,5.38005,2.00543,6.00573,-0.0340595,1.66847,-6.91359,-0.969765,0.766072,3.8033,3.57669,-6.93624,-7.00001,-6.95105,-6.85827,-6.74871,-6.92138,-6.85578,0.702334,0.53224,0.773226,-0.319778,-0.357372,-0.244253,-0.3305,-2.47186,-2.2807,-2.48677,-2.44755,-2.62739,-2.41224,-2.62781,-2.54497,-5.72039,-5.88534,-5.74347,-5.79457,-5.75946,-5.7181,-5.79176,-5.69881,-5.92744,2.76759,2.79002,2.7521,2.77961,2.8256,2.70472,2.7154,2.90753,2.71112,1.76204,1.65652,1.6698,1.73021,1.68796,1.64308,0.145975,0.205241,0.195685,-0.664637,-0.757811,-0.670941,-0.704227,-0.716636,-0.825896,-0.709647,-0.799228,-0.291527,-0.31886,-0.50599,-0.266333,-0.259241,0.697594,0.785295,0.875487,0.906222,0.81537,0.748167,0.692553,5.30892,5.50398,5.34338,5.32897,5.33066,5.32974,1.85471,1.96013,2.00557,6.0858,5.99577,-0.150114,-0.068337,-0.0122092,-0.0582246,0.01442,1.57364,1.57705,1.64847,1.80959,1.69708,-6.80272,-6.82607,-6.90373,-6.99444,-6.88814,-6.91875,-6.92134,-6.89607,-6.89758,-6.97506,-6.98478,-0.960993,-0.981302,-1.00475,-0.954473,0.762707,0.758378,0.789991,0.672595,0.762375,0.767659,0.76127
